,Layer,Abetalipoproteinaemia nodes,Myalgia nodes,sAB
0,coex_KDN,40,39,-0.16980431848852895
1,coex_BST,31,20,0.21472169512966488
2,coex_OVR,36,29,-0.07159593280282928
3,coex_LNG,37,37,0.18274428274428267
4,coex_ITI,40,33,-0.055902777777777635
5,coex_VGN,33,33,-0.015151515151515138
6,coex_HRV,24,30,-0.017819148936170093
7,coex_MSG,40,37,0.07871182871182869
8,coex_ADV,28,31,0.09792626728110632
9,coex_EMS,30,27,-0.02946127946127941
10,coex_SMU,30,27,-0.04697855750487334
11,coex_ARG,28,29,-0.13942183043816447
12,coex_TST,36,34,-0.1037581699346406
13,coex_PIT,32,31,-0.31740431387608825
14,coex_LVR,35,30,-0.07259887005649723
15,coex_THY,31,26,-0.23681479810512096
16,coex_PNC,29,28,0.022145881946245005
17,coex_ATC,36,33,-0.10002195871761099
18,coex_BRO,36,26,-0.03277502067824645
19,coex_SKN,35,30,0.01520146520146537
20,coex_ADS,33,27,0.4338023088023091
21,coex_GEJ,32,31,0.2558775287042101
22,coex_BRB,27,20,-2.220446049250313e-16
23,coex_UTR,21,24,-0.1351190476190478
24,coex_STM,37,32,-0.038930914610262546
25,coex_HRA,32,28,-0.010119047619047805
26,coex_PRS,33,31,-0.15773154936461387
27,coex_ATA,30,27,0.15993265993266004
28,coex_FIB,26,22,0.014277389277389085
29,coex_BRC,34,23,0.0379705658006908
30,coex_ATT,32,31,-0.020632271285033976
31,coex_TNV,21,19,0.6472222222222221
32,coex_SPL,36,35,-0.09636709143751387
33,coex_LCL,24,17,-0.13785108638049803
34,coex_CLS,32,31,-0.006197117927022822
35,coex_EMC,30,31,-0.0768999453253143
36,coex_CLT,34,32,-0.11797319734345368
37,coex_core,39,40,0.01571637426900585
38,coex_WBL,34,31,-0.011642156862745168
39,co-essential,6,4,-0.5
40,GOBP,24,27,0.9730769230769232
41,ppi,50,48,0.20511054421768682
42,reactome_copathway,12,20,0.6628503075871499
43,MP,14,8,0.564393939393939
44,HP,27,41,0.1932886975928585
45,GI_net,13,17,-0.1834087481146307
46,gene_gene_on_CbG_name_mapped,11,10,0.4798701298701298
47,gene_gene_on_GcG_name_mapped,30,35,-0.2628205128205128
48,GOMF,7,8,
