,Layer,Tetralogy_of_Fallot nodes,Cervical_cancer nodes,sAB
0,coex_KDN,40,41,0.1481857874134298
1,coex_BST,26,34,0.18001508295625945
2,coex_OVR,33,38,0.12262687969924801
3,coex_LNG,33,39,0.30552780552780545
4,coex_ITI,38,35,0.13265765765765747
5,coex_VGN,36,37,0.5089935826237193
6,coex_HRV,25,24,0.527738095238095
7,coex_MSG,38,41,0.18760663622625584
8,coex_ADV,30,26,0.27069597069597084
9,coex_EMS,24,35,0.033333333333333215
10,coex_SMU,22,32,0.15146254208754217
11,coex_ARG,22,31,-0.05126502213788742
12,coex_TST,36,38,0.014540856646119815
13,coex_PIT,31,39,0.18940914158305455
14,coex_LVR,26,36,0.01785221946512272
15,coex_THY,31,35,0.2576266238505327
16,coex_PNC,25,32,0.31060307017543876
17,coex_ATC,38,37,0.2911529951003635
18,coex_BRO,31,32,0.22296626984126977
19,coex_SKN,33,41,0.21226104152933445
20,coex_ADS,28,28,0.9623015873015874
21,coex_GEJ,30,34,0.8850361197110423
22,coex_BRB,20,20,-0.10000000000000053
23,coex_UTR,28,27,0.6179172679172678
24,coex_STM,34,39,0.2569319614041612
25,coex_HRA,27,37,0.2547386095773192
26,coex_PRS,29,38,0.018819243167104815
27,coex_ATA,28,34,0.21103280021686066
28,coex_FIB,17,39,-0.1406485671191553
29,coex_BRC,26,36,0.24538185828508396
30,coex_ATT,32,36,0.2804330065359477
31,coex_TNV,21,22,0.46742424242424274
32,coex_SPL,27,36,0.15157876770779977
33,coex_LCL,9,33,-0.11944444444444469
34,coex_CLS,29,36,0.36439518336070087
35,coex_EMC,29,31,0.4040600667408232
36,coex_CLT,32,33,0.24082341269841256
37,coex_core,35,38,0.5220480779413321
38,coex_WBL,13,35,-0.12793040293040248
39,co-essential,10,16,1.0071428571428576
40,GOBP,12,11,0.3000000000000007
41,ppi,48,50,-0.0529166666666665
42,reactome_copathway,16,27,-0.006315789473684275
43,MP,14,7,0.5494505494505493
44,HP,27,20,0.3446020488573678
45,GI_net,11,28,0.13116050616050612
46,gene_gene_on_CbG_name_mapped,5,15,-2.220446049250313e-16
47,gene_gene_on_GcG_name_mapped,37,31,-0.10540284117134213
48,GOMF,8,6,
