,Layer,Pruritus nodes,Diarrhea nodes,sAB
0,coex_KDN,39,36,0.07801880828196595
1,coex_BST,24,19,0.0740259077927381
2,coex_OVR,28,24,-0.060668498168498175
3,coex_LNG,34,30,0.4893831095656651
4,coex_ITI,33,37,0.2599976599976599
5,coex_VGN,35,22,0.1350877192982458
6,coex_HRV,25,21,0.2877777777777777
7,coex_MSG,37,35,0.10840840840840826
8,coex_ADV,23,26,0.384103474165586
9,coex_EMS,32,23,0.24031620553359678
10,coex_SMU,28,19,-0.004959206526955695
11,coex_ARG,28,18,0.07802423294899374
12,coex_TST,38,28,0.006521986785144707
13,coex_PIT,31,31,-0.048387096774193505
14,coex_LVR,29,28,0.2620343963356666
15,coex_THY,31,20,0.47579063883617945
16,coex_PNC,31,28,0.18433179723502313
17,coex_ATC,34,24,0.3180809201896886
18,coex_BRO,32,26,0.06370192307692313
19,coex_SKN,38,22,0.07139910905791136
20,coex_ADS,34,20,0.7899896800825594
21,coex_GEJ,34,28,0.5472350230414742
22,coex_BRB,27,22,0.029306672163814884
23,coex_UTR,22,15,0.6658008658008656
24,coex_STM,35,31,0.2673369641111578
25,coex_HRA,30,22,0.42086834733893586
26,coex_PRS,35,24,-0.03229813664596293
27,coex_ATA,29,20,0.2473602484472046
28,coex_FIB,19,19,0.0212418300653594
29,coex_BRC,27,23,0.116779388083736
30,coex_ATT,31,20,0.30321055441165257
31,coex_TNV,34,15,0.21138107416879803
32,coex_SPL,30,24,-0.06574074074074066
33,coex_LCL,18,14,-0.01984126984126977
34,coex_CLS,36,25,0.5787067395264118
35,coex_EMC,31,27,0.20093019286567682
36,coex_CLT,33,30,0.1726328917652611
37,coex_core,40,32,0.3960770412383319
38,coex_WBL,24,26,0.3878231292517007
39,co-essential,6,7,1.3333333333333335
40,GOBP,19,21,0.5350877192982457
41,ppi,50,49,-0.0511997526283241
42,reactome_copathway,14,18,0.20329670329670346
43,MP,21,19,0.1667739167739164
44,HP,26,23,0.4651900894136918
45,GI_net,18,13,-0.13268541494347952
46,gene_gene_on_CbG_name_mapped,14,7,-0.16666666666666652
47,gene_gene_on_GcG_name_mapped,32,26,0.08852785145888609
48,GOMF,5,8,
