,Layer,Bronchiolitis nodes,Absence_seizure nodes,sAB
0,coex_KDN,34,30,0.31838235294117645
1,coex_BST,23,20,0.4033669141039238
2,coex_OVR,25,19,0.2820532435740515
3,coex_LNG,34,17,0.6309090909090909
4,coex_ITI,32,26,0.088089330024814
5,coex_VGN,25,20,0.03611111111111098
6,coex_HRV,27,13,0.8376068376068377
7,coex_MSG,32,22,0.11910774410774416
8,coex_ADV,29,17,0.43857483023194277
9,coex_EMS,22,19,0.4629699248120298
10,coex_SMU,25,15,0.5116666666666667
11,coex_ARG,24,25,0.9980102040816328
12,coex_TST,30,30,0.28333333333333344
13,coex_PIT,31,28,0.28173255719945
14,coex_LVR,31,22,0.30606429480440434
15,coex_THY,28,16,0.6961670973298881
16,coex_PNC,28,19,0.6216791979949874
17,coex_ATC,29,17,0.7612944864466162
18,coex_BRO,32,43,0.6777437602643905
19,coex_SKN,23,19,0.3500942618121834
20,coex_ADS,29,16,0.8058668582375477
21,coex_GEJ,30,22,0.5503952569169961
22,coex_BRB,26,35,0.9238095238095241
23,coex_UTR,13,16,0.13613053613053605
24,coex_STM,28,28,0.3035714285714284
25,coex_HRA,26,20,0.6644444444444444
26,coex_PRS,24,20,0.3535714285714282
27,coex_ATA,32,18,0.4954648526077099
28,coex_FIB,19,13,0.13198380566801582
29,coex_BRC,22,31,0.8753389033364685
30,coex_ATT,24,19,1.2965626274989797
31,coex_TNV,24,16,1.0922867892976589
32,coex_SPL,26,22,0.6136363636363633
33,coex_LCL,22,12,0.5334310850439881
34,coex_CLS,27,21,0.2116233254531128
35,coex_EMC,24,18,0.25099206349206327
36,coex_CLT,27,21,0.10043416622363988
37,coex_core,36,23,0.5786231884057973
38,coex_WBL,37,17,0.5445762504586034
39,co-essential,7,3,2.2857142857142856
40,GOBP,16,30,1.7051061007957555
41,ppi,50,50,0.6099999999999999
42,reactome_copathway,24,12,1.512634708286882
43,MP,13,19,3.1842105263157894
44,HP,19,16,1.0021146616541354
45,GI_net,17,12,0.36794117647058844
46,gene_gene_on_CbG_name_mapped,14,27,0.4627048651438894
47,gene_gene_on_GcG_name_mapped,38,33,0.2747658197991778
48,GOMF,2,5,
