,Layer,Movement_disorder nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,34,35,0.24369138959931802
1,coex_BST,25,20,0.16333333333333333
2,coex_OVR,22,20,0.34642857142857153
3,coex_LNG,24,28,0.05746187363834432
4,coex_ITI,33,25,0.13784743991640536
5,coex_VGN,27,32,0.021979821802935007
6,coex_HRV,20,13,0.9221445221445217
7,coex_MSG,30,27,0.01998050682261221
8,coex_ADV,23,28,0.15981350410066275
9,coex_EMS,26,19,0.4265734265734267
10,coex_SMU,24,16,0.20150501672240795
11,coex_ARG,32,17,0.19582833133253308
12,coex_TST,39,27,0.18557368557368537
13,coex_PIT,35,21,-0.007967032967032939
14,coex_LVR,29,38,0.6210553403581003
15,coex_THY,26,24,0.7591973244147159
16,coex_PNC,23,27,0.26995169082125603
17,coex_ATC,21,21,0.0
18,coex_BRO,41,18,-0.11496220225360165
19,coex_SKN,25,28,0.2321428571428572
20,coex_ADS,21,18,0.41286549707602305
21,coex_GEJ,32,22,0.6949820788530467
22,coex_BRB,36,15,0.5014705882352941
23,coex_UTR,20,14,0.22310924369747864
24,coex_STM,31,31,0.19354838709677424
25,coex_HRA,26,27,0.36703643086621796
26,coex_PRS,22,24,0.11783596837944632
27,coex_ATA,26,15,0.5437148217636025
28,coex_FIB,24,12,0.22549019607843102
29,coex_BRC,39,21,0.5290726817042606
30,coex_ATT,23,20,0.5226935312831391
31,coex_TNV,19,18,0.34477861319966596
32,coex_SPL,22,35,0.7119047619047618
33,coex_LCL,22,5,0.49125874125874125
34,coex_CLS,31,27,0.7611111111111113
35,coex_EMC,24,23,0.36301264261486255
36,coex_CLT,29,27,0.26199662406558955
37,coex_core,34,28,0.47205882352941186
38,coex_WBL,31,20,1.0487349778621127
39,co-essential,7,6,1.4981684981684982
40,GOBP,18,29,1.84375
41,ppi,50,50,0.3700000000000001
42,reactome_copathway,11,21,1.4145021645021645
43,MP,7,13,1.6207983193277307
44,HP,20,24,0.4988636363636365
45,GI_net,16,16,0.15625
46,gene_gene_on_CbG_name_mapped,14,23,0.3256672821890212
47,gene_gene_on_GcG_name_mapped,35,36,0.2970098367985692
48,GOMF,4,8,
