,Layer,Intracranial_swelling nodes,Myelodysplastic_syndrome nodes,sAB
0,coex_KDN,36,45,0.41346153846153877
1,coex_BST,18,38,0.9435423665546847
2,coex_OVR,29,39,0.49179241156853104
3,coex_LNG,25,44,0.3655303030303032
4,coex_ITI,34,45,0.540307768677091
5,coex_VGN,29,43,0.6478978118913963
6,coex_HRV,31,22,0.5950060376056583
7,coex_MSG,33,44,0.10876623376623384
8,coex_ADV,19,37,0.6071105794790004
9,coex_EMS,20,39,0.39214471968709264
10,coex_SMU,20,34,0.6468954248366012
11,coex_ARG,23,35,0.5131719854358536
12,coex_TST,30,45,0.20777777777777784
13,coex_PIT,33,36,0.4870992534036014
14,coex_LVR,34,41,0.5765040650406505
15,coex_THY,22,33,1.1505681818181817
16,coex_PNC,25,36,0.8927049180327871
17,coex_ATC,16,41,0.5372177055103884
18,coex_BRO,35,39,0.6788634788634789
19,coex_SKN,28,42,0.5418708521183948
20,coex_ADS,25,29,0.6234217506631299
21,coex_GEJ,20,40,0.375
22,coex_BRB,33,21,0.25235849056603765
23,coex_UTR,17,37,0.5930555555555554
24,coex_STM,35,43,0.6536233943894683
25,coex_HRA,27,39,0.5735867446393763
26,coex_PRS,23,42,0.5238095238095242
27,coex_ATA,22,32,0.6208438552188555
28,coex_FIB,16,41,0.7776053215077605
29,coex_BRC,32,36,0.5490196078431371
30,coex_ATT,24,41,0.40219053444452957
31,coex_TNV,24,19,0.6819444444444445
32,coex_SPL,23,42,0.8376623376623376
33,coex_LCL,15,38,1.4947600661886375
34,coex_CLS,32,40,0.5247549019607844
35,coex_EMC,27,44,0.4979015507184519
36,coex_CLT,30,44,0.22829567692581376
37,coex_core,36,47,0.6942028985507247
38,coex_WBL,27,41,1.0445941026574448
39,co-essential,5,25,0.7599999999999998
40,GOBP,14,15,1.6743589743589746
41,ppi,50,50,0.24
42,reactome_copathway,21,25,0.40335365853658534
43,MP,10,11,0.8025252525252524
44,HP,20,32,0.6093750000000002
45,GI_net,13,37,0.04008316008316015
46,gene_gene_on_CbG_name_mapped,23,7,0.36894409937888195
47,gene_gene_on_GcG_name_mapped,37,38,-0.05523944997629204
48,GOMF,3,3,
