,Layer,Ichthyosis nodes,Hyperkeratosis nodes,sAB
0,coex_KDN,33,43,0.08618003783242467
1,coex_BST,28,36,0.023065476190476275
2,coex_OVR,44,42,-0.16947296889157326
3,coex_LNG,31,41,0.25716940900124285
4,coex_ITI,30,42,-0.07222222222222241
5,coex_VGN,48,47,0.009593131765584184
6,coex_HRV,11,28,0.5404040404040402
7,coex_MSG,48,48,-0.031249999999999778
8,coex_ADV,24,32,0.0011574074074074403
9,coex_EMS,35,38,-0.14756411576887407
10,coex_SMU,31,39,0.22231359649122817
11,coex_ARG,30,36,-0.10976702508960567
12,coex_TST,33,41,0.14156728790875128
13,coex_PIT,30,42,-0.26150793650793647
14,coex_LVR,26,39,-0.0410256410256411
15,coex_THY,26,38,0.26651062753036436
16,coex_PNC,26,38,-0.23032641700404843
17,coex_ATC,29,37,-0.006382558106696079
18,coex_BRO,25,39,0.11641025641025626
19,coex_SKN,48,48,0.07291666666666652
20,coex_ADS,36,36,0.27402597402597406
21,coex_GEJ,39,40,-0.023653034728984057
22,coex_BRB,11,22,0.04032258064516148
23,coex_UTR,27,32,-0.13039469554300065
24,coex_STM,30,41,0.04609527081186293
25,coex_HRA,30,37,-0.19412397472098974
26,coex_PRS,32,41,0.04456157677773964
27,coex_ATA,25,35,0.30711152882205495
28,coex_FIB,29,31,0.13045684288585768
29,coex_BRC,28,37,0.18020493020493022
30,coex_ATT,28,39,0.4873626373626374
31,coex_TNV,23,28,0.041814551907719544
32,coex_SPL,27,35,-0.021061614610001778
33,coex_LCL,23,31,0.18401759530791795
34,coex_CLS,29,42,0.09832583708145926
35,coex_EMC,41,45,-0.03337204800619431
36,coex_CLT,30,37,0.0341333871184617
37,coex_core,41,47,0.02610628862574904
38,coex_WBL,26,37,0.11509586509586489
39,co-essential,12,9,0.4249999999999998
40,GOBP,30,24,0.5113095238095235
41,ppi,50,48,-0.07213435374149668
42,reactome_copathway,12,18,0.6264957264957265
43,MP,18,13,0.6051587301587302
44,HP,32,32,-0.046875
45,GI_net,22,23,-0.13372859025032935
46,gene_gene_on_CbG_name_mapped,5,9,-0.08412698412698427
47,gene_gene_on_GcG_name_mapped,26,26,-0.09615384615384603
48,GOMF,10,5,
