,Layer,Renal_tubular_acidosis nodes,Celiac_disease nodes,sAB
0,coex_KDN,41,30,0.6845238095238095
1,coex_BST,29,15,0.9149345188033164
2,coex_OVR,31,19,0.012678258217036387
3,coex_LNG,33,29,1.0
4,coex_ITI,30,29,0.3583576855639976
5,coex_VGN,28,21,0.4804421768707483
6,coex_HRV,18,16,1.3611111111111112
7,coex_MSG,34,26,0.18951734539969833
8,coex_ADV,29,14,0.666126523204563
9,coex_EMS,28,14,0.25854949025680707
10,coex_SMU,28,17,0.9295241352354893
11,coex_ARG,33,12,0.453125
12,coex_TST,33,23,0.59373235460192
13,coex_PIT,33,21,0.42907092907092914
14,coex_LVR,29,19,0.4895841552907758
15,coex_THY,26,21,0.500976800976801
16,coex_PNC,26,25,1.016025641025641
17,coex_ATC,27,22,0.23167044595616026
18,coex_BRO,28,24,0.4326923076923075
19,coex_SKN,30,21,0.5116246498599439
20,coex_ADS,19,20,0.944950213371266
21,coex_GEJ,31,17,0.41902483293457626
22,coex_BRB,15,19,0.24901960784313726
23,coex_UTR,24,10,0.4799019607843138
24,coex_STM,29,25,0.6306513409961687
25,coex_HRA,31,18,0.31121700879765424
26,coex_PRS,28,18,0.34084913034981446
27,coex_ATA,29,26,0.6807299843014127
28,coex_FIB,26,13,0.35256410256410264
29,coex_BRC,30,20,0.48999999999999977
30,coex_ATT,29,20,0.49760731878958486
31,coex_TNV,11,18,0.5227272727272725
32,coex_SPL,32,28,0.9668471437539234
33,coex_LCL,25,14,0.44444444444444464
34,coex_CLS,28,17,0.3905462184873949
35,coex_EMC,29,27,0.6452780273534993
36,coex_CLT,30,21,0.8183333333333331
37,coex_core,38,34,0.8582559339525282
38,coex_WBL,36,29,0.9424329501915709
39,co-essential,18,4,0.3535353535353538
40,GOBP,37,20,2.123504273504274
41,ppi,49,50,0.2739888682745826
42,reactome_copathway,15,17,0.8179487179487177
43,MP,21,22,1.415251415251415
44,HP,36,17,0.7022906646935505
45,GI_net,18,13,-0.05004135649296959
46,gene_gene_on_CbG_name_mapped,17,8,0.27294117647058824
47,gene_gene_on_GcG_name_mapped,31,30,0.03384452670544702
48,GOMF,13,13,5.4
