,Layer,Laryngeal_edema nodes,Periodontitis nodes,sAB
0,coex_KDN,48,36,0.22667455536431436
1,coex_BST,32,19,0.1920803782505911
2,coex_OVR,37,20,0.18053579895685168
3,coex_LNG,42,28,0.8111341154819418
4,coex_ITI,43,28,0.22545739553600685
5,coex_VGN,45,21,0.43650793650793673
6,coex_HRV,30,25,0.623148148148148
7,coex_MSG,48,30,0.37724358974358974
8,coex_ADV,31,27,0.9317663817663817
9,coex_EMS,39,19,0.16471734892787548
10,coex_SMU,40,17,-0.0625
11,coex_ARG,34,17,0.3333333333333335
12,coex_TST,46,21,-0.08302431939680477
13,coex_PIT,44,24,0.16733511586452776
14,coex_LVR,40,30,0.17872313843078458
15,coex_THY,38,17,0.8840907763303929
16,coex_PNC,41,24,0.6342457582184517
17,coex_ATC,39,27,0.4234654234654234
18,coex_BRO,42,21,0.28174603174603163
19,coex_SKN,47,17,0.17229466941203375
20,coex_ADS,34,20,0.36955337690631795
21,coex_GEJ,38,26,0.792467306015693
22,coex_BRB,31,20,0.04499999999999993
23,coex_UTR,25,12,0.4053030303030303
24,coex_STM,44,27,0.37903091952387724
25,coex_HRA,41,25,0.7811411149825784
26,coex_PRS,34,18,0.3186274509803919
27,coex_ATA,39,19,0.8600588008482748
28,coex_FIB,36,14,0.440952380952381
29,coex_BRC,42,16,-0.03227627257799659
30,coex_ATT,39,18,0.5047572972101273
31,coex_TNV,26,18,0.4846890455645583
32,coex_SPL,45,26,0.2904357770554953
33,coex_LCL,19,11,0.018099547511312597
34,coex_CLS,44,18,0.3618556475277015
35,coex_EMC,41,23,0.17315084835630978
36,coex_CLT,46,18,0.10071879382889204
37,coex_core,46,31,0.4400635298788962
38,coex_WBL,34,28,0.036527514231499136
39,co-essential,8,10,-0.21666666666666679
40,GOBP,18,17,0.6090909090909093
41,ppi,50,49,0.21389816532673667
42,reactome_copathway,11,29,0.4559523809523811
43,MP,14,15,1.1071428571428572
44,HP,21,13,0.3942038353803059
45,GI_net,13,21,0.36551113360323884
46,gene_gene_on_CbG_name_mapped,7,25,0.2439285714285715
47,gene_gene_on_GcG_name_mapped,31,30,-0.09941829719725015
48,GOMF,3,2,
