,Layer,Postherpetic_neuralgia nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,37,40,0.13445945945945947
1,coex_BST,14,31,0.7363818976722203
2,coex_OVR,19,36,-0.0010636330003701566
3,coex_LNG,26,37,0.5320576724265251
4,coex_ITI,31,40,0.18550658791458452
5,coex_VGN,25,33,0.1942191142191141
6,coex_HRV,17,24,0.4778469079939671
7,coex_MSG,23,40,0.26345755693581774
8,coex_ADV,24,28,0.9413819875776399
9,coex_EMS,16,30,0.4413949275362321
10,coex_SMU,17,30,0.4510221109720485
11,coex_ARG,11,28,0.4657842157842156
12,coex_TST,27,36,0.3422131147540983
13,coex_PIT,28,32,-0.10967261904761916
14,coex_LVR,33,35,0.16060606060606064
15,coex_THY,14,31,0.28376462247430023
16,coex_PNC,20,29,0.4228888106966924
17,coex_ATC,13,36,0.38178091749520293
18,coex_BRO,26,36,0.18930934656741094
19,coex_SKN,20,35,0.3886554621848739
20,coex_ADS,16,33,1.735177025355597
21,coex_GEJ,21,32,0.6541145490454245
22,coex_BRB,25,27,0.22444444444444445
23,coex_UTR,12,21,0.39366883116883145
24,coex_STM,22,37,0.2402656894182318
25,coex_HRA,21,32,0.47921332586786125
26,coex_PRS,20,33,0.17691622103386795
27,coex_ATA,18,30,0.23309178743961345
28,coex_FIB,14,26,0.5351648351648353
29,coex_BRC,21,34,0.6103932138893291
30,coex_ATT,16,32,0.08096590909090917
31,coex_TNV,16,21,0.5226190476190475
32,coex_SPL,26,36,0.4241797628894406
33,coex_LCL,11,24,0.1958333333333333
34,coex_CLS,27,32,0.3206018518518521
35,coex_EMC,15,30,0.18333333333333313
36,coex_CLT,22,34,0.1617647058823528
37,coex_core,31,39,0.714986619090098
38,coex_WBL,22,34,1.0964476699770818
39,co-essential,4,6,-0.17499999999999982
40,GOBP,26,24,1.322826086956522
41,ppi,49,50,0.27328592042877764
42,reactome_copathway,23,12,0.44405594405594395
43,MP,12,14,0.7020202020202015
44,HP,22,27,0.24201195629767058
45,GI_net,18,13,0.19230769230769207
46,gene_gene_on_CbG_name_mapped,15,11,0.2829836829836829
47,gene_gene_on_GcG_name_mapped,25,30,-0.10393939393939378
48,GOMF,5,7,
