,Layer,Migraine nodes,Temporal_lobe_epilepsy nodes,sAB
0,coex_KDN,39,39,0.11538461538461542
1,coex_BST,26,24,0.15544871794871784
2,coex_OVR,29,28,-0.17977054705729878
3,coex_LNG,28,26,0.4185883997204751
4,coex_ITI,33,35,0.20346320346320357
5,coex_VGN,34,27,-0.0003571556127004438
6,coex_HRV,22,23,0.17933684672815087
7,coex_MSG,35,34,0.07067348678601881
8,coex_ADV,30,19,-0.009917651271034611
9,coex_EMS,25,24,0.48
10,coex_SMU,27,22,-0.10018552875695708
11,coex_ARG,26,27,0.2814529914529915
12,coex_TST,37,33,-0.0010062010062010796
13,coex_PIT,33,32,-0.12470134032634039
14,coex_LVR,27,28,0.019252044252044076
15,coex_THY,28,26,0.12896825396825395
16,coex_PNC,25,30,0.2693939393939395
17,coex_ATC,34,32,0.3189338235294117
18,coex_BRO,39,39,0.03846153846153855
19,coex_SKN,29,28,0.05292207792207804
20,coex_ADS,29,29,0.1551724137931032
21,coex_GEJ,25,26,0.28963993453355164
22,coex_BRB,31,29,0.07508342602892104
23,coex_UTR,25,19,0.2260981912144704
24,coex_STM,34,34,-0.04411764705882337
25,coex_HRA,27,24,0.05855119825708055
26,coex_PRS,28,23,0.1487355811889972
27,coex_ATA,30,31,0.13325401022386707
28,coex_FIB,19,17,0.18163054695562453
29,coex_BRC,33,31,-0.16164161779081132
30,coex_ATT,32,30,0.5237969328397671
31,coex_TNV,24,27,0.14569716775599106
32,coex_SPL,27,26,-0.045664677740149706
33,coex_LCL,9,15,0.21177944862155407
34,coex_CLS,28,29,0.20658326851611797
35,coex_EMC,27,27,0.14814814814814792
36,coex_CLT,29,31,0.2888394512421206
37,coex_core,34,37,0.05940164763694167
38,coex_WBL,15,24,-0.14819819819819813
39,co-essential,3,6,0.11111111111111116
40,GOBP,16,18,0.712733957219251
41,ppi,50,50,0.15000000000000013
42,reactome_copathway,17,18,0.8941993464052289
43,MP,16,12,0.3830316742081443
44,HP,26,12,0.017094017094017033
45,GI_net,16,16,-0.2520833333333332
46,gene_gene_on_CbG_name_mapped,11,26,0.14798714798714796
47,gene_gene_on_GcG_name_mapped,39,29,-0.11781609195402298
48,GOMF,4,5,
