,Layer,Erythema_multiforme nodes,Hepatic_encephalopathy nodes,sAB
0,coex_KDN,44,42,0.08072838014698469
1,coex_BST,29,22,0.16049836862644762
2,coex_OVR,35,23,0.4796641361858751
3,coex_LNG,33,29,0.31577173290187766
4,coex_ITI,39,33,0.04885392385392384
5,coex_VGN,32,23,0.28077968227424743
6,coex_HRV,22,20,-0.0023809523809521504
7,coex_MSG,39,28,0.08846563883877323
8,coex_ADV,28,33,0.17063492063492047
9,coex_EMS,29,25,0.10153846153846136
10,coex_SMU,28,23,0.17548106199001356
11,coex_ARG,36,25,0.007546408393866111
12,coex_TST,33,27,0.015993265993266004
13,coex_PIT,37,30,-0.016414141414141437
14,coex_LVR,38,31,0.17997237919063402
15,coex_THY,31,25,0.18108504398826986
16,coex_PNC,31,23,0.15279725728533577
17,coex_ATC,35,25,0.10000000000000009
18,coex_BRO,36,30,0.12045454545454537
19,coex_SKN,37,27,0.3463838996625883
20,coex_ADS,25,23,0.1858695652173914
21,coex_GEJ,33,27,0.3391811414392061
22,coex_BRB,28,24,0.36782974059188867
23,coex_UTR,26,18,0.3561769967378723
24,coex_STM,39,27,0.21587671587671586
25,coex_HRA,32,30,0.5170874384236452
26,coex_PRS,32,19,0.24673619447779105
27,coex_ATA,35,22,0.5655388471177942
28,coex_FIB,30,20,-0.2633333333333332
29,coex_BRC,37,29,0.13640202702702697
30,coex_ATT,35,24,0.27503132832080235
31,coex_TNV,22,21,0.737591865498842
32,coex_SPL,33,34,0.20565621092398967
33,coex_LCL,27,15,0.2142901813633522
34,coex_CLS,38,28,0.08912037037037024
35,coex_EMC,30,22,0.1271561771561771
36,coex_CLT,37,27,0.1514550264550263
37,coex_core,40,36,0.20017605633802793
38,coex_WBL,33,31,0.10448741446725318
39,co-essential,8,7,-0.1857142857142855
40,GOBP,21,18,0.4704944178628385
41,ppi,49,49,0.04081632653061229
42,reactome_copathway,19,23,0.041443850267379734
43,MP,18,15,0.25854824688496114
44,HP,11,27,-0.10003544214070503
45,GI_net,18,23,-0.4975845410628017
46,gene_gene_on_CbG_name_mapped,12,31,-0.010190047511877909
47,gene_gene_on_GcG_name_mapped,30,31,-0.1120482989599858
48,GOMF,8,9,
