,Layer,Inflammatory_bowel_disease nodes,Celiac_disease nodes,sAB
0,coex_KDN,40,30,0.06577480490523957
1,coex_BST,22,15,0.7085137085137085
2,coex_OVR,30,19,-0.06393168663894988
3,coex_LNG,39,29,0.3680976983215789
4,coex_ITI,41,29,0.39798149705635
5,coex_VGN,27,21,0.18617724867724883
6,coex_HRV,28,16,0.24667774086378724
7,coex_MSG,39,26,0.21923076923076912
8,coex_ADV,32,14,0.8815993788819876
9,coex_EMS,25,14,-0.05106516290726848
10,coex_SMU,26,17,0.13312548283853887
11,coex_ARG,25,12,0.1645238095238093
12,coex_TST,31,23,-0.0963326580437378
13,coex_PIT,32,21,0.002422308873921697
14,coex_LVR,36,19,0.35333599149388606
15,coex_THY,31,21,0.13065697743117077
16,coex_PNC,28,25,0.34011904761904765
17,coex_ATC,36,22,0.3251915708812261
18,coex_BRO,32,24,0.109375
19,coex_SKN,27,21,0.08994708994708978
20,coex_ADS,32,20,0.4269230769230772
21,coex_GEJ,31,17,0.35869837296620766
22,coex_BRB,26,19,0.2354700854700853
23,coex_UTR,19,10,0.43605664488017437
24,coex_STM,35,25,0.15714285714285703
25,coex_HRA,31,18,0.4996376811594203
26,coex_PRS,31,18,0.37254901960784315
27,coex_ATA,33,26,0.20581960412468847
28,coex_FIB,17,13,0.1269984917043745
29,coex_BRC,29,20,-0.13764954257565098
30,coex_ATT,26,20,-0.005098389982111096
31,coex_TNV,26,18,0.31776556776556797
32,coex_SPL,29,28,0.21090668590668615
33,coex_LCL,27,14,-0.24224021592442613
34,coex_CLS,32,17,0.10968566949921632
35,coex_EMC,33,27,0.45921661793372337
36,coex_CLT,33,21,0.36129807692307714
37,coex_core,41,34,0.33179954908792775
38,coex_WBL,39,29,0.2269512097098303
39,co-essential,7,4,0.6333333333333329
40,GOBP,18,20,0.8002652519893898
41,ppi,49,50,0.18297670583384873
42,reactome_copathway,19,17,0.5763257575757577
43,MP,15,22,-0.28992628992628955
44,HP,23,17,0.015473145780051212
45,GI_net,25,13,0.17870755370755376
46,gene_gene_on_CbG_name_mapped,8,8,0.25
47,gene_gene_on_GcG_name_mapped,33,30,-0.06854256854256868
48,GOMF,8,13,
