,Layer,Ovarian_cancer nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,47,43,-0.4440046181758206
1,coex_BST,43,37,-0.279973287240729
2,coex_OVR,42,33,-0.3377922077922082
3,coex_LNG,47,41,-0.31319393494742
4,coex_ITI,47,43,-0.3750508549123097
5,coex_VGN,46,39,-0.27703783854679
6,coex_HRV,17,17,-0.515485739750446
7,coex_MSG,45,43,-0.2037585153864223
8,coex_ADV,35,25,-0.2371428571428571
9,coex_EMS,43,35,-0.5142857142857142
10,coex_SMU,40,34,-0.3652777777777776
11,coex_ARG,39,30,-0.2741293532338307
12,coex_TST,46,42,-0.318840579710145
13,coex_PIT,43,32,-0.18474806201550398
14,coex_LVR,37,35,-0.10845130845130835
15,coex_THY,38,33,-0.5978237978237977
16,coex_PNC,36,31,-0.3994744021826353
17,coex_ATC,42,38,-0.3825542236967141
18,coex_BRO,39,32,-0.20103715240158904
19,coex_SKN,46,38,-0.159164480660825
20,coex_ADS,28,30,-0.4696932377966858
21,coex_GEJ,41,35,-0.21048988615467268
22,coex_BRB,17,23,-0.44836524504043695
23,coex_UTR,39,35,-0.39017919017919
24,coex_STM,46,44,-0.3351998243302592
25,coex_HRA,37,32,-0.3376787113200157
26,coex_PRS,42,34,-0.27790063393778586
27,coex_ATA,39,32,-0.26934893063925314
28,coex_FIB,44,36,-0.2465066578990629
29,coex_BRC,42,33,-0.12147186147186151
30,coex_ATT,36,34,-0.3964460784313728
31,coex_TNV,20,21,-0.24532520325203233
32,coex_SPL,43,39,-0.2975987899413879
33,coex_LCL,40,31,-0.271294997662459
34,coex_CLS,43,38,-0.22667996433806303
35,coex_EMC,43,38,-0.3123441679133234
36,coex_CLT,45,45,-0.3901808785529717
37,coex_core,48,44,-0.21458333333333313
38,coex_WBL,39,32,-0.25151837409901945
39,co-essential,31,21,-0.13894009216589853
40,GOBP,14,8,-0.22180451127819545
41,ppi,50,50,-0.17999999999999994
42,reactome_copathway,33,33,-0.18181818181818188
43,MP,14,12,0.26544289044289027
44,HP,26,25,-0.2953242835595776
45,GI_net,41,35,-0.32398373983739837
46,gene_gene_on_CbG_name_mapped,9,17,-0.48039215686274517
47,gene_gene_on_GcG_name_mapped,41,40,-0.3340258958145137
48,GOMF,1,2,
