,Layer,Ichthyosis nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,33,36,0.5467171717171717
1,coex_BST,28,18,0.8500643500643499
2,coex_OVR,44,29,0.7913059163059164
3,coex_LNG,31,25,1.0381989247311831
4,coex_ITI,30,34,0.9272671568627451
5,coex_VGN,48,29,0.591264367816092
6,coex_HRV,11,31,1.0343108504398826
7,coex_MSG,48,33,0.28966750841750843
8,coex_ADV,24,19,0.910725214198286
9,coex_EMS,35,20,0.7717532467532466
10,coex_SMU,31,20,1.3213768115942028
11,coex_ARG,30,23,0.8976982097186701
12,coex_TST,33,30,0.5940115440115439
13,coex_PIT,30,33,0.6163780663780667
14,coex_LVR,26,34,0.882051282051282
15,coex_THY,26,22,1.6182730313165097
16,coex_PNC,26,25,1.1261538461538463
17,coex_ATC,29,16,0.3886624869383488
18,coex_BRO,25,35,0.7778571428571428
19,coex_SKN,48,28,0.9770299145299144
20,coex_ADS,36,25,1.7209523809523808
21,coex_GEJ,39,20,0.7496305953933073
22,coex_BRB,11,33,0.66017316017316
23,coex_UTR,27,17,0.9050925925925926
24,coex_STM,30,35,0.8340686274509803
25,coex_HRA,30,27,0.9784511784511785
26,coex_PRS,32,23,0.8971529649595686
27,coex_ATA,25,22,0.9676383399209487
28,coex_FIB,29,16,0.9413793103448278
29,coex_BRC,28,32,0.9107142857142856
30,coex_ATT,28,24,0.9731789949181251
31,coex_TNV,23,24,1.3815821256038645
32,coex_SPL,27,23,0.7377001305572735
33,coex_LCL,23,15,1.4933155080213905
34,coex_CLS,29,32,0.8834378265412748
35,coex_EMC,41,27,0.8882729736388271
36,coex_CLT,30,30,0.5947454844006566
37,coex_core,41,36,1.2865447154471545
38,coex_WBL,26,27,1.7115384615384617
39,co-essential,12,5,0.5970588235294119
40,GOBP,30,14,1.2053757053757055
41,ppi,50,50,0.25
42,reactome_copathway,12,21,1.3188405797101446
43,MP,18,10,2.5277777777777777
44,HP,32,20,0.7278846153846155
45,GI_net,22,13,0.08391608391608418
46,gene_gene_on_CbG_name_mapped,5,23,0.22608695652173916
47,gene_gene_on_GcG_name_mapped,26,37,-0.05605880605880609
48,GOMF,10,3,
