,Layer,Nocturia nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,45,31,-0.03566308243727567
1,coex_BST,31,21,0.20240761478163494
2,coex_OVR,35,24,-0.01193502824858772
3,coex_LNG,40,25,0.3211538461538459
4,coex_ITI,39,27,0.059570059570059675
5,coex_VGN,40,28,0.12145146520146533
6,coex_HRV,13,40,0.42247822931785195
7,coex_MSG,43,44,0.13720504969502567
8,coex_ADV,31,20,0.24772876892692564
9,coex_EMS,37,34,0.2481771832684614
10,coex_SMU,33,36,0.35221783047870026
11,coex_ARG,35,21,0.13668831168831197
12,coex_TST,39,30,-0.08177257525083603
13,coex_PIT,41,26,-0.028744644507294526
14,coex_LVR,37,18,0.0785694785694786
15,coex_THY,31,31,0.817433081674674
16,coex_PNC,37,16,0.1955882352941174
17,coex_ATC,33,38,1.156193139699441
18,coex_BRO,38,27,0.10644667223614634
19,coex_SKN,39,24,0.1906288156288154
20,coex_ADS,21,21,1.2707875457875457
21,coex_GEJ,34,24,0.08395721925133692
22,coex_BRB,16,21,0.4167471042471047
23,coex_UTR,37,22,0.22684587515095966
24,coex_STM,39,29,0.17636494252873547
25,coex_HRA,39,43,0.1487626714370902
26,coex_PRS,35,43,0.4179316807223783
27,coex_ATA,30,19,0.48807733619763694
28,coex_FIB,36,17,0.2245190529041805
29,coex_BRC,35,30,0.05476190476190501
30,coex_ATT,32,29,0.3657425548589339
31,coex_TNV,11,26,0.6006493506493511
32,coex_SPL,36,23,0.21868091378039778
33,coex_LCL,28,24,0.4201839826839828
34,coex_CLS,38,28,0.19220039711842984
35,coex_EMC,38,19,0.08253588516746402
36,coex_CLT,39,24,0.19719169719169716
37,coex_core,42,41,0.7782989368355224
38,coex_WBL,35,34,0.7776801629742807
39,co-essential,16,11,0.8697727272727276
40,GOBP,21,23,1.1568314726209463
41,ppi,48,49,0.26608852303808117
42,reactome_copathway,13,17,0.9238996297819826
43,MP,17,25,1.2887500000000003
44,HP,25,38,0.4278613199665833
45,GI_net,23,17,0.08738277919863568
46,gene_gene_on_CbG_name_mapped,12,11,-0.03507905138339895
47,gene_gene_on_GcG_name_mapped,38,27,-0.005075723496775986
48,GOMF,2,2,
