,Layer,Conjunctivitis nodes,Leukemia nodes,sAB
0,coex_KDN,39,44,-0.005939843289240798
1,coex_BST,30,31,0.32471355543804004
2,coex_OVR,37,39,0.05197505197505192
3,coex_LNG,39,41,0.17525797373358376
4,coex_ITI,39,42,0.05229955229955241
5,coex_VGN,35,40,0.22286902286902288
6,coex_HRV,24,13,-0.2939102564102565
7,coex_MSG,41,41,0.23170731707317072
8,coex_ADV,30,30,0.12183908045977043
9,coex_EMS,34,34,0.06467845879610623
10,coex_SMU,28,34,0.1659663865546217
11,coex_ARG,33,36,0.13772048846675689
12,coex_TST,33,45,0.11810411810411825
13,coex_PIT,35,36,0.06910909903867646
14,coex_LVR,35,40,0.2483333333333333
15,coex_THY,35,30,0.5333333333333332
16,coex_PNC,33,33,0.44081439393939403
17,coex_ATC,35,39,-0.016056166056166
18,coex_BRO,33,37,0.048449748449748586
19,coex_SKN,35,38,0.19569927069927084
20,coex_ADS,33,30,0.2051948051948056
21,coex_GEJ,36,34,0.03513071895424824
22,coex_BRB,23,18,-0.08751620124896897
23,coex_UTR,26,33,0.19071747461577981
24,coex_STM,32,42,0.22892535392535396
25,coex_HRA,30,32,-0.034408602150537426
26,coex_PRS,35,32,0.015385127931769826
27,coex_ATA,35,34,0.0718105423987776
28,coex_FIB,28,38,-0.02423852423852413
29,coex_BRC,26,37,0.14058839058839068
30,coex_ATT,35,36,-0.12880282547801736
31,coex_TNV,24,21,0.1128875968992249
32,coex_SPL,37,43,0.09132821791049639
33,coex_LCL,27,36,0.16534391534391513
34,coex_CLS,34,37,0.06995230524642304
35,coex_EMC,36,40,0.07690058479532169
36,coex_CLT,37,42,0.07480474603762288
37,coex_core,40,40,0.2749999999999999
38,coex_WBL,37,37,0.20460014809329863
39,co-essential,8,24,1.420446026986507
40,GOBP,20,12,1.1583333333333332
41,ppi,49,50,0.2016780045351474
42,reactome_copathway,25,26,0.4166666666666665
43,MP,20,13,0.8395833333333336
44,HP,33,32,0.5182520772238512
45,GI_net,24,35,0.3085526315789471
46,gene_gene_on_CbG_name_mapped,14,13,0.29700854700854684
47,gene_gene_on_GcG_name_mapped,34,39,-0.031503750077481074
48,GOMF,4,2,
