,Layer,Renal_tubular_acidosis nodes,Rhabdomyosarcoma nodes,sAB
0,coex_KDN,41,43,0.12923925667828096
1,coex_BST,29,32,-0.07786429365962166
2,coex_OVR,31,36,0.11590157154673308
3,coex_LNG,33,35,0.07142857142857162
4,coex_ITI,30,41,0.24000343524562018
5,coex_VGN,28,37,0.05091327591327599
6,coex_HRV,18,20,0.9888888888888889
7,coex_MSG,34,43,0.06784870396361509
8,coex_ADV,29,29,0.2986337020169161
9,coex_EMS,28,35,0.10820105820105796
10,coex_SMU,28,35,0.21944444444444433
11,coex_ARG,33,31,-0.09647817460317465
12,coex_TST,33,44,0.19805194805194803
13,coex_PIT,33,36,0.11631237750640744
14,coex_LVR,29,36,0.357074438970991
15,coex_THY,26,31,0.6569361861510368
16,coex_PNC,26,30,0.04102564102564088
17,coex_ATC,27,37,0.22160870547967315
18,coex_BRO,28,32,0.044791666666666785
19,coex_SKN,30,39,0.3178929765886287
20,coex_ADS,19,24,0.8503952188162716
21,coex_GEJ,31,33,0.2883675464320623
22,coex_BRB,15,17,-0.38235294117647056
23,coex_UTR,24,30,-0.1435185185185186
24,coex_STM,29,39,0.07489467935715388
25,coex_HRA,31,35,0.43210445468509984
26,coex_PRS,28,35,0.15992063492063524
27,coex_ATA,29,28,0.16826174914410208
28,coex_FIB,26,35,-0.0567873303167421
29,coex_BRC,30,37,0.07803030303030312
30,coex_ATT,29,35,0.174445308083663
31,coex_TNV,11,20,0.38091440723019643
32,coex_SPL,32,35,0.46916311300639624
33,coex_LCL,25,32,0.008680555555555802
34,coex_CLS,28,38,0.19443495101389852
35,coex_EMC,29,36,0.08234126984126977
36,coex_CLT,30,41,0.24583762739035864
37,coex_core,38,42,0.3839993820166856
38,coex_WBL,36,36,0.5489130434782608
39,co-essential,18,20,0.8305555555555553
40,GOBP,37,18,1.2540328188012793
41,ppi,49,50,0.32227169655741106
42,reactome_copathway,15,19,0.8547008547008543
43,MP,21,14,1.7868131868131867
44,HP,36,26,0.6147085610200362
45,GI_net,18,29,0.17485937882122737
46,gene_gene_on_CbG_name_mapped,17,9,0.42131724484665667
47,gene_gene_on_GcG_name_mapped,31,32,-0.11486335125448033
48,GOMF,13,2,
