,Layer,Renal_tubular_acidosis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,41,42,0.5046747967479677
1,coex_BST,29,18,0.5157088122605364
2,coex_OVR,31,22,0.2125524696682195
3,coex_LNG,33,32,0.6126298523783489
4,coex_ITI,30,38,0.22507739938080484
5,coex_VGN,28,25,0.4378571428571427
6,coex_HRV,18,17,0.9469246031746033
7,coex_MSG,34,23,0.3384329225761453
8,coex_ADV,29,26,0.7666935762887785
9,coex_EMS,28,19,0.5815747097211625
10,coex_SMU,28,19,0.4272316429371301
11,coex_ARG,33,18,0.05590277777777786
12,coex_TST,33,24,0.2875797448165869
13,coex_PIT,33,26,0.5323579928843085
14,coex_LVR,29,30,0.5662431941923776
15,coex_THY,26,29,0.6730769230769229
16,coex_PNC,26,20,0.6935618729096986
17,coex_ATC,27,25,0.2488603988603988
18,coex_BRO,28,23,0.2888959931798807
19,coex_SKN,30,23,0.5505619639160013
20,coex_ADS,19,24,1.040703893881044
21,coex_GEJ,31,22,0.2664170506912442
22,coex_BRB,15,18,0.43284313725490176
23,coex_UTR,24,20,0.43089555283557734
24,coex_STM,29,28,0.5069462449226516
25,coex_HRA,31,20,0.40953716690042086
26,coex_PRS,28,25,0.1904341736694677
27,coex_ATA,29,24,0.4359169199594728
28,coex_FIB,26,17,0.1255656108597285
29,coex_BRC,30,24,0.5650641025641026
30,coex_ATT,29,26,0.19511035483709493
31,coex_TNV,11,20,0.526298701298701
32,coex_SPL,32,36,0.9456699346405228
33,coex_LCL,25,18,0.5020833333333337
34,coex_CLS,28,35,0.4322599531615925
35,coex_EMC,29,25,0.06154061624649865
36,coex_CLT,30,30,0.48965517241379297
37,coex_core,38,35,0.6997704708017509
38,coex_WBL,36,32,0.7876335470085469
39,co-essential,18,4,1.2853535353535355
40,GOBP,37,20,1.5437699902656097
41,ppi,49,50,0.2526757369614512
42,reactome_copathway,15,21,0.9915782493368699
43,MP,21,19,0.8521303258145365
44,HP,36,19,0.8825491759702286
45,GI_net,18,20,0.37499999999999956
46,gene_gene_on_CbG_name_mapped,17,15,0.3112745098039216
47,gene_gene_on_GcG_name_mapped,31,33,-0.06593658357771259
48,GOMF,13,4,
