,Layer,Diabetes_insipidus nodes,Glanzmann_thrombasthenia nodes,sAB
0,coex_KDN,33,33,0.37878787878787845
1,coex_BST,22,27,0.24696969696969662
2,coex_OVR,24,28,-0.08197167755991308
3,coex_LNG,33,27,0.7101010101010101
4,coex_ITI,32,33,0.06515879953379944
5,coex_VGN,29,34,0.04826298335426138
6,coex_HRV,20,22,0.42976190476190457
7,coex_MSG,31,33,-0.0895955522971652
8,coex_ADV,26,19,0.6270125223613596
9,coex_EMS,24,24,0.5314716312056738
10,coex_SMU,22,22,0.1363636363636367
11,coex_ARG,22,18,0.16919191919191912
12,coex_TST,34,31,0.10902787914173095
13,coex_PIT,31,31,-0.06451612903225801
14,coex_LVR,25,23,0.35043478260869576
15,coex_THY,29,20,0.45833662116310236
16,coex_PNC,20,22,0.17543859649122817
17,coex_ATC,31,27,0.04809871050137993
18,coex_BRO,31,24,-0.02255782105903803
19,coex_SKN,25,28,0.1323180592991915
20,coex_ADS,19,29,0.8003629764065336
21,coex_GEJ,23,29,0.5159138890665984
22,coex_BRB,16,18,-0.10252525252525269
23,coex_UTR,21,19,0.2180451127819545
24,coex_STM,28,30,0.2047619047619047
25,coex_HRA,27,23,0.32962962962962994
26,coex_PRS,25,25,0.16000000000000014
27,coex_ATA,25,29,0.2755952380952382
28,coex_FIB,21,16,-0.20728764478764483
29,coex_BRC,24,28,0.015476190476190865
30,coex_ATT,28,26,0.4065934065934065
31,coex_TNV,13,24,0.5829234703915009
32,coex_SPL,28,28,0.543767507002801
33,coex_LCL,17,14,0.0877609108159394
34,coex_CLS,29,31,0.04618226600985209
35,coex_EMC,30,31,-0.028503437334743698
36,coex_CLT,30,29,0.06446522501461138
37,coex_core,33,37,0.26960784313725483
38,coex_WBL,24,28,0.6436546840958606
39,co-essential,6,2,0.958333333333333
40,GOBP,12,20,0.9449891067538125
41,ppi,45,45,0.2777777777777779
42,reactome_copathway,15,23,1.148821548821549
43,MP,14,23,2.2057511454063174
44,HP,27,21,0.4632936507936507
45,GI_net,18,13,0.26013234077750225
46,gene_gene_on_CbG_name_mapped,7,12,0.30952380952380953
47,gene_gene_on_GcG_name_mapped,31,33,-0.0740316471163247
48,GOMF,3,6,
