,Layer,Gingivostomatitis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,28,42,0.015476190476190421
1,coex_BST,8,18,0.33333333333333304
2,coex_OVR,13,22,0.3599400599400595
3,coex_LNG,39,32,0.7468509984639016
4,coex_ITI,20,38,-0.00453720508166966
5,coex_VGN,15,25,0.7115873015873018
6,coex_HRV,21,17,1.1661438223938223
7,coex_MSG,36,23,0.5253305364861429
8,coex_ADV,31,26,1.702514162648064
9,coex_EMS,11,19,0.6827751196172249
10,coex_SMU,14,19,0.12284919028340102
11,coex_ARG,11,18,1.3514454893765238
12,coex_TST,19,24,0.16067421460628317
13,coex_PIT,17,26,0.3654990842490844
14,coex_LVR,34,30,0.5692401960784315
15,coex_THY,15,29,0.49379844961240327
16,coex_PNC,20,20,0.44999999999999996
17,coex_ATC,29,25,0.5529177718832892
18,coex_BRO,21,23,0.27931488801054005
19,coex_SKN,19,23,0.7521612001017035
20,coex_ADS,22,24,0.90036231884058
21,coex_GEJ,32,22,1.6567752100840338
22,coex_BRB,20,18,0.2979016167870656
23,coex_UTR,7,20,1.0842731829573937
24,coex_STM,31,28,1.170770522533781
25,coex_HRA,21,20,1.1578947368421053
26,coex_PRS,9,25,0.2716666666666665
27,coex_ATA,34,24,0.7159398242055444
28,coex_FIB,6,17,1.2612958226768969
29,coex_BRC,13,24,0.523855311355311
30,coex_ATT,18,26,0.14102564102564097
31,coex_TNV,13,20,0.5674242424242424
32,coex_SPL,37,36,0.9291414702373606
33,coex_LCL,13,18,1.3074252136752138
34,coex_CLS,12,35,0.29480519480519485
35,coex_EMC,31,25,0.9279245283018867
36,coex_CLT,21,30,0.39358974358974375
37,coex_core,36,35,1.2118866901599352
38,coex_WBL,35,32,0.5182987967914436
39,co-essential,1,4,
40,GOBP,18,20,0.9532952069716774
41,ppi,47,50,0.14215178767273517
42,reactome_copathway,20,21,0.7888888888888888
43,MP,14,19,1.0902255639097742
44,HP,14,19,0.5647641831852357
45,GI_net,12,20,0.4729623824451412
46,gene_gene_on_CbG_name_mapped,18,15,0.42171717171717193
47,gene_gene_on_GcG_name_mapped,25,33,-0.011786833855799372
48,GOMF,9,4,
