,Layer,Benign_Neonatal_Epilepsy nodes,Atypical_absence_seizure nodes,sAB
0,coex_KDN,29,35,0.20751231527093594
1,coex_BST,27,27,0.4259259259259258
2,coex_OVR,18,30,0.17250087077673282
3,coex_LNG,22,31,0.07473856028329573
4,coex_ITI,37,31,0.44030463100671824
5,coex_VGN,37,32,0.4202592538190364
6,coex_HRV,21,21,0.023809523809523725
7,coex_MSG,26,33,0.2450416814823595
8,coex_ADV,22,26,0.5575466200466201
9,coex_EMS,27,25,0.49673202614379086
10,coex_SMU,16,24,0.28541666666666643
11,coex_ARG,29,31,0.36486042692939247
12,coex_TST,35,36,0.09907780013413836
13,coex_PIT,31,34,0.3377609108159394
14,coex_LVR,15,24,0.25128205128205106
15,coex_THY,22,32,0.41959908963585457
16,coex_PNC,31,30,0.07848580997708465
17,coex_ATC,24,28,0.32280219780219777
18,coex_BRO,43,40,0.04340151302885964
19,coex_SKN,28,32,0.3339747536945814
20,coex_ADS,29,26,0.6457384515289524
21,coex_GEJ,29,28,0.6845238095238093
22,coex_BRB,38,34,0.04962710874497378
23,coex_UTR,17,21,0.491714929214929
24,coex_STM,32,33,0.3494776392961878
25,coex_HRA,22,31,0.527184750733138
26,coex_PRS,19,27,0.13378252394270707
27,coex_ATA,21,29,0.5314842578710643
28,coex_FIB,8,21,0.028838259441708036
29,coex_BRC,42,39,0.2182614133833647
30,coex_ATT,22,27,0.8386243386243386
31,coex_TNV,30,21,0.28412698412698423
32,coex_SPL,12,28,0.18809523809523832
33,coex_LCL,4,11,0.49848484848484853
34,coex_CLS,36,29,0.4877836722664308
35,coex_EMC,20,28,0.3642857142857143
36,coex_CLT,33,32,0.3125
37,coex_core,38,34,0.4731313578062806
38,coex_WBL,13,20,0.041025641025641324
39,co-essential,6,3,2.4833333333333334
40,GOBP,26,29,1.0352564102564101
41,ppi,50,47,0.1878623188405799
42,reactome_copathway,13,7,0.22281639928698782
43,MP,14,15,0.36904761904761907
44,HP,15,24,0.24935897435897436
45,GI_net,14,14,-0.17857142857142883
46,gene_gene_on_CbG_name_mapped,13,14,0.10632885632885625
47,gene_gene_on_GcG_name_mapped,35,32,0.09932036247334741
48,GOMF,6,6,
