,Layer,Pyelonephritis nodes,Peritonitis nodes,sAB
0,coex_KDN,42,40,0.23813879210220668
1,coex_BST,26,31,0.17387096774193544
2,coex_OVR,32,35,0.49732142857142847
3,coex_LNG,34,42,0.16232666287902697
4,coex_ITI,35,39,0.048588938098671486
5,coex_VGN,32,36,0.35945117501094703
6,coex_HRV,26,23,0.09526653470752855
7,coex_MSG,35,41,0.26387309737759024
8,coex_ADV,31,32,0.14223790322580654
9,coex_EMS,22,34,0.42290552584670227
10,coex_SMU,26,28,0.09121896621896619
11,coex_ARG,21,34,0.15315762668703847
12,coex_TST,27,39,0.23141673141673125
13,coex_PIT,35,36,0.2495341614906832
14,coex_LVR,36,39,0.25235042735042734
15,coex_THY,25,36,0.614790153349476
16,coex_PNC,29,30,0.08300060496067774
17,coex_ATC,30,38,0.03301435406698561
18,coex_BRO,30,38,0.16455108359133153
19,coex_SKN,26,37,0.25211857018308637
20,coex_ADS,24,32,0.42038690476190466
21,coex_GEJ,29,34,0.7209270805096231
22,coex_BRB,21,25,0.45555555555555527
23,coex_UTR,20,30,0.21191062631949364
24,coex_STM,30,37,0.08456366814575755
25,coex_HRA,25,33,0.1460692951015532
26,coex_PRS,29,34,0.2866109134439525
27,coex_ATA,31,35,0.2885416666666667
28,coex_FIB,20,30,0.35999999999999965
29,coex_BRC,21,29,0.4383579638752053
30,coex_ATT,30,39,0.48327592805204755
31,coex_TNV,24,22,0.45179474216380155
32,coex_SPL,27,39,-0.08974358974358987
33,coex_LCL,14,26,0.23004626951995366
34,coex_CLS,33,35,0.5909684065934067
35,coex_EMC,30,40,0.2784313725490195
36,coex_CLT,32,39,0.23527793723689228
37,coex_core,40,42,0.11550053322205223
38,coex_WBL,29,40,0.14485294117647052
39,co-essential,4,15,-0.6230769230769235
40,GOBP,14,17,0.2908791208791208
41,ppi,50,50,0.21999999999999997
42,reactome_copathway,14,23,0.023550724637681153
43,MP,16,11,-0.290909090909091
44,HP,13,18,-0.10833333333333339
45,GI_net,23,27,-0.1659621578099837
46,gene_gene_on_CbG_name_mapped,12,11,0.39608036890645604
47,gene_gene_on_GcG_name_mapped,32,33,0.0017118298368297147
48,GOMF,4,1,
