,Layer,Respiratory_insufficiency nodes,Bronchiectasis nodes,sAB
0,coex_KDN,42,38,0.28180501930501944
1,coex_BST,34,26,0.31494772975503205
2,coex_OVR,34,23,0.06511190334719763
3,coex_LNG,37,42,0.5835247544108304
4,coex_ITI,39,31,0.15397613139548616
5,coex_VGN,39,29,0.09269516825297752
6,coex_HRV,19,24,0.18388362209872522
7,coex_MSG,43,39,0.1810215687130039
8,coex_ADV,33,20,0.525457404230989
9,coex_EMS,33,28,0.3797202797202792
10,coex_SMU,41,27,0.303044795153834
11,coex_ARG,36,22,0.2855712295367465
12,coex_TST,40,38,0.15247975708502048
13,coex_PIT,38,36,0.3294623545164279
14,coex_LVR,39,29,0.4054621848739497
15,coex_THY,37,31,0.7614026790557928
16,coex_PNC,35,31,0.3270220588235295
17,coex_ATC,35,28,0.27857142857142847
18,coex_BRO,35,37,0.6581939081939083
19,coex_SKN,37,26,0.10880404524472342
20,coex_ADS,29,26,0.8075331564986743
21,coex_GEJ,30,28,0.3300082101806241
22,coex_BRB,18,32,0.12326388888888884
23,coex_UTR,32,20,0.11437500000000034
24,coex_STM,36,35,0.2242063492063493
25,coex_HRA,37,27,0.1893162393162393
26,coex_PRS,38,30,0.26775025799793584
27,coex_ATA,31,28,0.6380926345387801
28,coex_FIB,30,22,0.34055944055944076
29,coex_BRC,37,23,0.1991980538891296
30,coex_ATT,40,31,0.18639162561576406
31,coex_TNV,18,17,1.3308823529411766
32,coex_SPL,34,27,0.28714418372084705
33,coex_LCL,28,26,0.05769230769230771
34,coex_CLS,38,34,0.10831870831870827
35,coex_EMC,36,34,0.4054998118650448
36,coex_CLT,40,30,0.06666666666666687
37,coex_core,41,38,0.426870946768251
38,coex_WBL,36,30,0.7494989684644857
39,co-essential,13,4,0.7516968325791855
40,GOBP,20,29,0.7404761904761905
41,ppi,50,49,0.09268192125334984
42,reactome_copathway,7,18,0.9034090909090908
43,MP,13,16,1.4032738095238098
44,HP,31,34,0.9773901620201431
45,GI_net,17,21,0.46999852572608036
46,gene_gene_on_CbG_name_mapped,12,12,0.375
47,gene_gene_on_GcG_name_mapped,41,35,0.1333486154410417
48,GOMF,6,7,
