,Layer,Tetralogy_of_Fallot nodes,Celiac_disease nodes,sAB
0,coex_KDN,40,30,0.5630952380952379
1,coex_BST,26,15,0.962087912087912
2,coex_OVR,33,19,-0.1603472222222222
3,coex_LNG,33,29,0.7903092670041825
4,coex_ITI,38,29,0.7083368635092773
5,coex_VGN,36,21,0.26159147869674193
6,coex_HRV,25,16,0.4950000000000001
7,coex_MSG,38,26,0.02195091093117396
8,coex_ADV,30,14,1.035930735930736
9,coex_EMS,24,14,-0.35238095238095246
10,coex_SMU,22,17,0.1287035698800405
11,coex_ARG,22,12,0.4583333333333335
12,coex_TST,36,23,0.2557520674690903
13,coex_PIT,31,21,0.2602240896358543
14,coex_LVR,26,19,0.3314439946018892
15,coex_THY,31,21,0.7869845208554889
16,coex_PNC,25,25,0.7228546099290782
17,coex_ATC,38,22,0.274561403508772
18,coex_BRO,31,24,0.3090909090909091
19,coex_SKN,33,21,-0.05820105820105814
20,coex_ADS,28,20,0.8779503105590059
21,coex_GEJ,30,17,0.5281512605042016
22,coex_BRB,20,19,0.02692307692307727
23,coex_UTR,28,10,1.325563909774436
24,coex_STM,34,25,0.46415752741774696
25,coex_HRA,27,18,0.3302110249784671
26,coex_PRS,29,18,0.13691683569979718
27,coex_ATA,28,26,0.41910866910866895
28,coex_FIB,17,13,0.04268476621417783
29,coex_BRC,26,20,0.25953177257525084
30,coex_ATT,32,20,0.1985576923076926
31,coex_TNV,21,18,0.36388888888888893
32,coex_SPL,27,28,0.5925925925925926
33,coex_LCL,9,14,-0.11111111111111116
34,coex_CLS,29,17,0.05822423013092415
35,coex_EMC,29,27,0.5083014048531289
36,coex_CLT,32,21,0.4069711538461538
37,coex_core,35,34,0.5871103280021686
38,coex_WBL,13,29,0.03196286472148513
39,co-essential,10,4,1.0999999999999996
40,GOBP,12,20,1.3928571428571432
41,ppi,48,50,0.22565476190476197
42,reactome_copathway,16,17,0.7904761904761908
43,MP,14,22,1.4801864801864801
44,HP,27,17,0.614280055456526
45,GI_net,11,13,-0.084498834498834
46,gene_gene_on_CbG_name_mapped,5,8,0.5076923076923074
47,gene_gene_on_GcG_name_mapped,37,30,0.2041145623235172
48,GOMF,8,13,
