,Layer,Emphysema nodes,Rosacea nodes,sAB
0,coex_KDN,36,35,-0.1663704448915717
1,coex_BST,23,18,0.12207357859531776
2,coex_OVR,29,27,-0.24450374019339516
3,coex_LNG,33,28,0.12366071428571423
4,coex_ITI,30,33,-0.01183261183261175
5,coex_VGN,29,28,0.026098901098901006
6,coex_HRV,31,25,-0.047798742138364325
7,coex_MSG,38,38,-0.03947368421052633
8,coex_ADV,21,18,-0.05647130647130627
9,coex_EMS,25,19,-0.12583732057416253
10,coex_SMU,21,20,0.17316849816849844
11,coex_ARG,23,22,-0.31818181818181834
12,coex_TST,27,30,-0.4001949317738793
13,coex_PIT,29,29,-0.07220637801400032
14,coex_LVR,40,25,0.11296474358974362
15,coex_THY,25,28,-0.05079514824797826
16,coex_PNC,27,21,-0.07440476190476186
17,coex_ATC,26,32,0.09478021978021967
18,coex_BRO,26,29,0.03441041716903781
19,coex_SKN,31,29,-0.2404636664718489
20,coex_ADS,27,27,-0.08157286459173241
21,coex_GEJ,24,30,-0.07407407407407396
22,coex_BRB,24,26,-0.22147435897435908
23,coex_UTR,20,15,0.19642857142857117
24,coex_STM,35,29,-0.0565270935960589
25,coex_HRA,25,23,0.11890645586297754
26,coex_PRS,23,26,0.03974131458603525
27,coex_ATA,22,27,-0.378942486085343
28,coex_FIB,21,17,0.06442577030812346
29,coex_BRC,24,14,-0.2857142857142856
30,coex_ATT,29,29,-0.16655863797424608
31,coex_TNV,23,27,-0.20442008739881068
32,coex_SPL,32,27,-0.09399521343377293
33,coex_LCL,22,16,-0.059319059319059564
34,coex_CLS,27,30,-0.11694581280788197
35,coex_EMC,32,31,0.08610261401557295
36,coex_CLT,28,31,-0.010774022870797095
37,coex_core,33,35,-0.09362108479755538
38,coex_WBL,33,28,-0.03384926239799113
39,co-essential,7,6,-0.8971861471861473
40,GOBP,17,23,0.6103174603174599
41,ppi,49,48,0.008757626762045057
42,reactome_copathway,29,18,-0.3284969506197126
43,MP,13,13,0.4262820512820511
44,HP,22,18,-0.13863636363636367
45,GI_net,18,9,-0.022222222222222143
46,gene_gene_on_CbG_name_mapped,15,11,-0.17016317016317029
47,gene_gene_on_GcG_name_mapped,29,29,-0.18965517241379293
48,GOMF,5,6,
