,Layer,Hypertrophic_cardiomyopathy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,31,29,0.31106458156121164
1,coex_BST,21,19,0.03571428571428603
2,coex_OVR,21,21,0.4047619047619049
3,coex_LNG,22,31,0.5172031644274702
4,coex_ITI,25,24,0.20205782312925158
5,coex_VGN,25,25,0.2139130434782608
6,coex_HRV,37,16,0.5993806306306309
7,coex_MSG,46,26,0.14659977703455973
8,coex_ADV,15,20,0.11875000000000036
9,coex_EMS,35,22,0.4040106951871658
10,coex_SMU,37,19,0.9378105378105377
11,coex_ARG,19,22,0.3201365386859609
12,coex_TST,30,24,-0.008796296296296191
13,coex_PIT,21,25,0.18898550724637664
14,coex_LVR,15,33,0.22186147186147176
15,coex_THY,34,19,0.9342320261437909
16,coex_PNC,15,21,0.047619047619047894
17,coex_ATC,40,22,0.4705278592375368
18,coex_BRO,22,24,0.25345849802371534
19,coex_SKN,19,18,0.21313418681839735
20,coex_ADS,19,16,0.2885267145135568
21,coex_GEJ,22,19,0.26167076167076164
22,coex_BRB,14,15,0.31336996336996314
23,coex_UTR,16,21,0.2714768339768341
24,coex_STM,26,26,0.38923076923076927
25,coex_HRA,40,19,0.22704639583042496
26,coex_PRS,44,27,0.031668331668331495
27,coex_ATA,17,17,0.7941176470588238
28,coex_FIB,14,17,-0.16041666666666665
29,coex_BRC,27,23,0.22289630378609138
30,coex_ATT,31,17,0.8961693548387095
31,coex_TNV,26,15,1.0744047619047623
32,coex_SPL,18,38,1.2634179634179634
33,coex_LCL,19,16,0.33492063492063506
34,coex_CLS,25,24,0.3670454545454547
35,coex_EMC,21,26,0.3755025462342534
36,coex_CLT,19,24,0.24671052631578938
37,coex_core,43,32,0.7136136712749614
38,coex_WBL,37,34,1.9252285373608902
39,co-essential,8,11,0.5831339712918657
40,GOBP,31,28,1.8064633175710472
41,ppi,49,50,0.3447103689960833
42,reactome_copathway,7,10,0.47979797979797967
43,MP,28,15,3.343463672731965
44,HP,35,22,1.4243791296422874
45,GI_net,11,16,0.13818181818181818
46,gene_gene_on_CbG_name_mapped,8,15,0.32663043478260856
47,gene_gene_on_GcG_name_mapped,32,32,0.1875
48,GOMF,4,2,
