,Layer,Celiac_disease nodes,Strabismus nodes,sAB
0,coex_KDN,30,43,0.5075395561219069
1,coex_BST,15,41,0.7188186813186812
2,coex_OVR,19,39,0.11684660368870903
3,coex_LNG,29,42,0.660714285714286
4,coex_ITI,29,46,0.5090454772613693
5,coex_VGN,21,41,0.29659810422988997
6,coex_HRV,16,16,0.21169354838709697
7,coex_MSG,26,46,0.2632385730211817
8,coex_ADV,14,38,0.39256795835743175
9,coex_EMS,14,41,0.1947274998356452
10,coex_SMU,17,39,0.5863080274844981
11,coex_ARG,12,38,0.5953947368421053
12,coex_TST,23,45,0.5547882921284455
13,coex_PIT,21,43,0.38285575858250276
14,coex_LVR,19,38,0.49122807017543857
15,coex_THY,21,36,0.6699039264828737
16,coex_PNC,25,39,0.8843789407313998
17,coex_ATC,22,42,0.4293154761904763
18,coex_BRO,24,38,0.3361111111111108
19,coex_SKN,21,44,0.28727938727938707
20,coex_ADS,20,20,0.3250000000000002
21,coex_GEJ,17,40,0.36160990712074303
22,coex_BRB,19,17,0.2990196078431371
23,coex_UTR,10,39,0.75316421167485
24,coex_STM,25,41,0.591996951219512
25,coex_HRA,18,40,0.20178571428571446
26,coex_PRS,18,41,0.23201475712236075
27,coex_ATA,26,40,0.7348193473193474
28,coex_FIB,13,37,0.2533471933471936
29,coex_BRC,20,43,0.43229974160206686
30,coex_ATT,20,39,0.757322903085615
31,coex_TNV,18,18,1.3888888888888888
32,coex_SPL,28,41,0.32463202083001197
33,coex_LCL,14,32,0.3328598484848486
34,coex_CLS,17,44,0.08044402559831676
35,coex_EMC,27,42,0.6380399589354813
36,coex_CLT,21,43,0.4253691399040238
37,coex_core,34,43,0.6168680650554794
38,coex_WBL,29,38,0.5586835124947647
39,co-essential,4,20,1.2250000000000005
40,GOBP,20,17,1.0330024813895786
41,ppi,50,48,0.18462585034013612
42,reactome_copathway,17,12,0.38240740740740753
43,MP,22,17,1.543876262626263
44,HP,17,32,0.7279786914765904
45,GI_net,13,27,-0.04937629937629939
46,gene_gene_on_CbG_name_mapped,8,4,0.3333333333333335
47,gene_gene_on_GcG_name_mapped,30,33,0.024531024531024404
48,GOMF,13,5,
