,Layer,Leukemia nodes,Lymphoma nodes,sAB
0,coex_KDN,44,48,-0.48064888010540185
1,coex_BST,31,30,-0.23129737352370872
2,coex_OVR,39,38,-0.46751932278248054
3,coex_LNG,41,46,-0.2842877341816896
4,coex_ITI,42,46,-0.43699416525503487
5,coex_VGN,40,42,-0.23745082078415414
6,coex_HRV,13,26,-0.4158004158004156
7,coex_MSG,41,46,-0.3425269072780681
8,coex_ADV,30,32,-0.22291666666666665
9,coex_EMS,34,36,-0.35523141866425445
10,coex_SMU,34,38,-0.4484864121087031
11,coex_ARG,36,33,-0.2939846223428313
12,coex_TST,45,42,-0.349480021893815
13,coex_PIT,36,41,-0.5412091296237636
14,coex_LVR,40,41,-0.13499698885877764
15,coex_THY,30,40,-0.4202380952380951
16,coex_PNC,33,35,-0.5277056277056276
17,coex_ATC,39,44,-0.35375066700367896
18,coex_BRO,37,39,-0.7241127767443556
19,coex_SKN,38,42,-0.25436602968248523
20,coex_ADS,30,35,-0.6256410256410256
21,coex_GEJ,34,39,-0.3170403637918999
22,coex_BRB,18,26,-0.7125097125097124
23,coex_UTR,33,30,-0.24134560285839468
24,coex_STM,42,42,-0.13095238095238093
25,coex_HRA,32,35,-0.41666666666666674
26,coex_PRS,32,37,-0.29423105170387776
27,coex_ATA,34,35,-0.46180290297937354
28,coex_FIB,38,36,-0.5067567567567566
29,coex_BRC,37,34,-0.65559013860588
30,coex_ATT,36,39,-0.43686716791979974
31,coex_TNV,21,21,-0.5761904761904764
32,coex_SPL,43,41,-0.25294208191651624
33,coex_LCL,36,39,-0.270349296665086
34,coex_CLS,37,39,-0.3805120910384068
35,coex_EMC,40,39,-0.5070918532943849
36,coex_CLT,42,39,-0.32204293596698674
37,coex_core,40,45,-0.15563725490196068
38,coex_WBL,37,47,-0.4339111147621786
39,co-essential,24,21,0.7717391304347827
40,GOBP,12,8,0.8480392156862742
41,ppi,50,50,-0.20999999999999996
42,reactome_copathway,26,34,-0.5542717086834734
43,MP,13,9,0.020833333333333037
44,HP,32,32,-0.2855222734254992
45,GI_net,35,32,-0.2657182835820895
46,gene_gene_on_CbG_name_mapped,13,10,-0.2133779264214044
47,gene_gene_on_GcG_name_mapped,39,35,-0.5621324621324622
48,GOMF,2,4,
