,Layer,Gastroesophageal_reflux_disease nodes,Heartburn nodes,sAB
0,coex_KDN,39,28,-0.1692307692307693
1,coex_BST,31,20,-0.7149999999999999
2,coex_OVR,29,17,-0.469914596273292
3,coex_LNG,34,28,-0.21863286957626582
4,coex_ITI,37,26,-0.40491040491040486
5,coex_VGN,37,23,-0.2510231370801086
6,coex_HRV,19,14,-0.6545910230120757
7,coex_MSG,33,24,-0.6414473684210527
8,coex_ADV,27,23,-0.10190936277892781
9,coex_EMS,29,15,0.14336977852537158
10,coex_SMU,23,15,-0.4304347826086956
11,coex_ARG,29,16,-0.21980363984674312
12,coex_TST,36,20,-0.2591269841269843
13,coex_PIT,34,16,-0.35610294117647046
14,coex_LVR,29,27,-0.2828863346104724
15,coex_THY,26,22,-0.35930558802899215
16,coex_PNC,26,17,-0.09230769230769242
17,coex_ATC,29,18,-0.4047444362924919
18,coex_BRO,39,17,-0.3960113960113958
19,coex_SKN,28,22,-0.5150621118012424
20,coex_ADS,29,19,0.03408821904837067
21,coex_GEJ,31,23,-0.06659905341446937
22,coex_BRB,26,15,-0.10897435897435859
23,coex_UTR,18,10,-0.21666666666666634
24,coex_STM,33,25,0.047523510971786864
25,coex_HRA,27,18,-0.49792038027332164
26,coex_PRS,31,20,-0.254032258064516
27,coex_ATA,25,16,-0.22411510590858397
28,coex_FIB,22,12,-0.5307486631016043
29,coex_BRC,33,21,-0.4922459893048128
30,coex_ATT,25,17,-0.32647058823529407
31,coex_TNV,20,7,-0.3064814814814816
32,coex_SPL,21,21,0.38095238095238093
33,coex_LCL,14,11,-0.5283738001129303
34,coex_CLS,35,21,-0.3539966225724738
35,coex_EMC,26,21,-0.4857364341085275
36,coex_CLT,33,16,0.00931508967223249
37,coex_core,41,32,-0.22134479541516727
38,coex_WBL,29,23,0.3001101490071294
39,co-essential,8,6,-1.4196428571428568
40,GOBP,20,25,0.07251131221719476
41,ppi,49,49,-0.1734693877551019
42,reactome_copathway,19,13,0.7393684746625924
43,MP,9,21,-0.10561660561660569
44,HP,28,16,0.3348214285714286
45,GI_net,21,14,0.059453781512605275
46,gene_gene_on_CbG_name_mapped,15,20,0.1607142857142858
47,gene_gene_on_GcG_name_mapped,27,36,-0.2407407407407407
48,GOMF,4,8,
