,Layer,Gingivostomatitis nodes,Prostatitis nodes,sAB
0,coex_KDN,28,35,0.15275175644028094
1,coex_BST,8,19,0.5138888888888888
2,coex_OVR,13,15,0.4851444851444855
3,coex_LNG,39,30,1.0753731343283581
4,coex_ITI,20,28,0.1398809523809521
5,coex_VGN,15,18,0.46482786663052345
6,coex_HRV,21,21,1.3654761904761905
7,coex_MSG,36,30,0.26994949494949494
8,coex_ADV,31,24,0.6409515114627715
9,coex_EMS,11,16,0.4276094276094278
10,coex_SMU,14,16,0.14854111405835546
11,coex_ARG,11,21,0.5343614718614718
12,coex_TST,19,23,-0.12438705459300414
13,coex_PIT,17,25,0.5283231707317073
14,coex_LVR,34,30,0.4561353573687539
15,coex_THY,15,26,1.2069731081926203
16,coex_PNC,20,22,0.34849012775842025
17,coex_ATC,29,17,0.87506914991702
18,coex_BRO,21,28,0.6586879432624113
19,coex_SKN,19,18,0.6882205513784463
20,coex_ADS,22,18,0.48611111111111116
21,coex_GEJ,32,18,1.040328631452581
22,coex_BRB,20,17,0.34978070175438614
23,coex_UTR,7,14,1.1616541353383458
24,coex_STM,31,25,1.1955077658303463
25,coex_HRA,21,23,1.4263729977116706
26,coex_PRS,9,24,0.36925287356321856
27,coex_ATA,34,19,0.6934692446988726
28,coex_FIB,6,23,1.1981509245377313
29,coex_BRC,13,23,0.5872352285395759
30,coex_ATT,18,14,0.36813186813186816
31,coex_TNV,13,12,0.43999999999999995
32,coex_SPL,37,26,0.6104016104016103
33,coex_LCL,13,17,2.5029768992617294
34,coex_CLS,12,21,0.35833902939166107
35,coex_EMC,31,18,0.7076345431789739
36,coex_CLT,21,24,1.0101190476190478
37,coex_core,36,32,1.2131912442396313
38,coex_WBL,35,26,0.5694570135746608
39,co-essential,1,7,
40,GOBP,18,18,1.2355769230769234
41,ppi,47,50,0.21586312787892092
42,reactome_copathway,20,16,1.2625
43,MP,14,16,0.84055829228243
44,HP,14,19,0.3566302118933695
45,GI_net,12,18,0.21046600458365194
46,gene_gene_on_CbG_name_mapped,18,14,0.6468253968253967
47,gene_gene_on_GcG_name_mapped,25,31,0.010115207373271762
48,GOMF,9,5,
