,Layer,Temporal_lobe_epilepsy nodes,Atonic_seizure nodes,sAB
0,coex_KDN,39,38,-0.14816537184958256
1,coex_BST,24,27,0.059557823129251286
2,coex_OVR,28,22,-0.0008503401360546725
3,coex_LNG,26,24,0.29083333333333306
4,coex_ITI,35,36,0.1428571428571428
5,coex_VGN,27,30,0.04463937621832348
6,coex_HRV,23,20,0.05801314459049545
7,coex_MSG,34,33,0.10229600659802585
8,coex_ADV,19,26,0.33339712918660247
9,coex_EMS,24,21,0.323809523809524
10,coex_SMU,22,25,0.0022397891963112926
11,coex_ARG,27,28,0.3695054945054945
12,coex_TST,33,35,0.11800356506238852
13,coex_PIT,32,38,-0.054880287896592383
14,coex_LVR,28,28,-0.1785714285714286
15,coex_THY,26,24,0.4429902395740908
16,coex_PNC,30,25,0.07303030303030322
17,coex_ATC,32,29,0.18996566335476328
18,coex_BRO,39,38,-0.14437317068896016
19,coex_SKN,28,26,0.4331318681318681
20,coex_ADS,29,27,0.05491698595146888
21,coex_GEJ,26,29,0.21230769230769253
22,coex_BRB,29,31,0.006433073785687693
23,coex_UTR,19,14,-0.04861111111111116
24,coex_STM,34,31,-0.16984381842066854
25,coex_HRA,24,29,0.3472988505747123
26,coex_PRS,23,24,0.1075393154486588
27,coex_ATA,31,25,0.06468719452590399
28,coex_FIB,17,20,0.09193163751987266
29,coex_BRC,31,36,-0.22135959985021092
30,coex_ATT,30,23,0.17565217391304344
31,coex_TNV,27,22,0.2843505981803851
32,coex_SPL,26,24,-0.001153846153846061
33,coex_LCL,15,21,-0.09090909090909083
34,coex_CLS,29,30,0.6476860254083485
35,coex_EMC,27,21,-0.10212765957446779
36,coex_CLT,31,34,0.03708472636366378
37,coex_core,37,34,0.3397046779399724
38,coex_WBL,24,28,-0.06619047619047613
39,co-essential,6,9,-0.3988095238095233
40,GOBP,18,17,-0.042000891265597584
41,ppi,50,50,0.07000000000000006
42,reactome_copathway,18,18,0.7946623093681917
43,MP,12,12,0.13564593301435401
44,HP,12,25,-0.06405405405405373
45,GI_net,16,18,0.25694444444444464
46,gene_gene_on_CbG_name_mapped,26,22,-0.14874708624708632
47,gene_gene_on_GcG_name_mapped,29,35,-0.24296490147783256
48,GOMF,5,7,
