,Layer,Renal_tubular_acidosis nodes,Adrenogenital_syndrome nodes,sAB
0,coex_KDN,41,35,0.14547619047619031
1,coex_BST,29,25,0.25793103448275856
2,coex_OVR,31,31,-0.19354838709677402
3,coex_LNG,33,29,0.2643678160919545
4,coex_ITI,30,31,-0.06549444738233734
5,coex_VGN,28,27,-0.257071632071632
6,coex_HRV,18,21,0.5924603174603171
7,coex_MSG,34,33,0.030795221752201618
8,coex_ADV,29,23,0.22535009091199099
9,coex_EMS,28,24,-0.12894880174291923
10,coex_SMU,28,25,0.29618598382749317
11,coex_ARG,33,31,-0.417842741935484
12,coex_TST,33,36,-0.1978480456741325
13,coex_PIT,33,31,0.10193312434691748
14,coex_LVR,29,33,0.12565308254963425
15,coex_THY,26,26,-0.14076923076923098
16,coex_PNC,26,29,0.22587412587412548
17,coex_ATC,27,30,0.19278752436647184
18,coex_BRO,28,30,0.012356321839080309
19,coex_SKN,30,30,0.050000000000000044
20,coex_ADS,19,27,0.22421584263689542
21,coex_GEJ,31,25,-0.1196543778801844
22,coex_BRB,15,20,-0.07619047619047636
23,coex_UTR,24,20,-0.06849245206038357
24,coex_STM,29,32,-0.03238941492368563
25,coex_HRA,31,30,-0.09121245828698554
26,coex_PRS,28,27,-0.0928932178932178
27,coex_ATA,29,36,-0.3673115079365079
28,coex_FIB,26,24,-0.4046794871794872
29,coex_BRC,30,30,-0.06666666666666665
30,coex_ATT,29,29,0.2679975801572896
31,coex_TNV,11,22,0.0012987012987011326
32,coex_SPL,32,25,0.5334649122807016
33,coex_LCL,25,22,-0.08333333333333348
34,coex_CLS,28,26,0.1992775742775741
35,coex_EMC,29,31,-0.1964285714285714
36,coex_CLT,30,31,-0.1482637052705802
37,coex_core,38,33,-0.00956937799043045
38,coex_WBL,36,30,0.22398989898989896
39,co-essential,18,7,-0.6255555555555554
40,GOBP,37,35,0.8635265700483092
41,ppi,49,48,-0.010793621572340095
42,reactome_copathway,15,23,0.31631701631701614
43,MP,21,12,0.9285714285714284
44,HP,36,32,-0.042177287581699474
45,GI_net,18,19,-0.45969653864390736
46,gene_gene_on_CbG_name_mapped,17,18,-0.14388422035480852
47,gene_gene_on_GcG_name_mapped,31,30,-0.310493140526511
48,GOMF,13,9,-0.5090909090909093
