,Layer,West_syndrome nodes,Immunodeficiency nodes,sAB
0,coex_KDN,46,41,0.48036042954132707
1,coex_BST,37,22,0.38730158730158726
2,coex_OVR,38,30,0.1960343473196633
3,coex_LNG,38,34,0.5368507051943587
4,coex_ITI,40,35,0.4013095238095239
5,coex_VGN,40,31,0.14138459791004077
6,coex_HRV,23,21,0.491262802238412
7,coex_MSG,42,35,0.15476190476190488
8,coex_ADV,35,27,0.42031063321385886
9,coex_EMS,40,25,0.47415064102564086
10,coex_SMU,39,30,0.19515050167224057
11,coex_ARG,40,24,0.5466397849462363
12,coex_TST,44,38,0.24184560625510554
13,coex_PIT,43,36,0.344699571517352
14,coex_LVR,38,35,0.31635080852816966
15,coex_THY,37,34,0.7442377442377444
16,coex_PNC,37,30,0.48402633402633377
17,coex_ATC,39,35,0.3702108702108702
18,coex_BRO,42,32,0.4834718509856333
19,coex_SKN,41,34,0.22763749402199918
20,coex_ADS,21,28,0.16845238095238058
21,coex_GEJ,36,23,0.41148554510623514
22,coex_BRB,20,26,0.7275919732441474
23,coex_UTR,34,22,0.3432263814616756
24,coex_STM,39,30,0.2027313266443702
25,coex_HRA,38,26,0.2258350202429149
26,coex_PRS,36,25,0.4451183970856101
27,coex_ATA,38,34,0.7466890264877883
28,coex_FIB,35,21,0.15129870129870127
29,coex_BRC,42,28,0.7988095238095236
30,coex_ATT,38,25,1.1949624060150374
31,coex_TNV,16,24,0.6937360646599773
32,coex_SPL,43,39,0.27413208836918446
33,coex_LCL,27,15,0.28433048433048436
34,coex_CLS,38,25,0.1898913951545531
35,coex_EMC,35,36,0.48052761010507483
36,coex_CLT,38,32,0.46275845864661647
37,coex_core,39,38,0.5340711919659284
38,coex_WBL,36,28,0.5942460317460316
39,co-essential,11,7,0.7135642135642137
40,GOBP,22,20,1.3600478468899522
41,ppi,49,49,0.43877551020408156
42,reactome_copathway,18,17,0.906113834422658
43,MP,5,13,2.7794117647058822
44,HP,34,38,0.761308909528724
45,GI_net,20,21,-0.0024970963995354367
46,gene_gene_on_CbG_name_mapped,12,7,0.1256265664160401
47,gene_gene_on_GcG_name_mapped,33,33,-0.06060606060606055
48,GOMF,4,8,
