,Layer,Ovarian_cancer nodes,Small_cell_lung_carcinoma nodes,sAB
0,coex_KDN,47,38,-0.046880040393273203
1,coex_BST,43,28,-0.16314753291497475
2,coex_OVR,42,33,-0.285064935064935
3,coex_LNG,47,36,-0.08161012845709092
4,coex_ITI,47,34,-0.19953954789165484
5,coex_VGN,46,34,-0.14715473145780056
6,coex_HRV,17,21,-0.303497615262321
7,coex_MSG,45,39,0.024664224664224577
8,coex_ADV,35,27,0.1282812766683734
9,coex_EMS,43,37,-0.07484407484407485
10,coex_SMU,40,27,-0.1648217247097843
11,coex_ARG,39,26,-0.05641025641025643
12,coex_TST,46,42,0.004752493882928643
13,coex_PIT,43,38,-0.06778412439367165
14,coex_LVR,37,28,-0.05564300564300573
15,coex_THY,38,30,-0.28645183645183625
16,coex_PNC,36,27,-0.3115079365079365
17,coex_ATC,42,37,-0.062496154691276784
18,coex_BRO,39,41,-0.07625078173858646
19,coex_SKN,46,36,0.13662071403322718
20,coex_ADS,28,28,0.08035090346411122
21,coex_GEJ,41,36,-0.018547008547008303
22,coex_BRB,17,23,-0.1643013848896202
23,coex_UTR,39,29,-0.23895496420524243
24,coex_STM,46,33,-0.10323734236777726
25,coex_HRA,37,32,-0.10126566784175473
26,coex_PRS,42,31,-0.11103570902510373
27,coex_ATA,39,26,-0.12198717948717963
28,coex_FIB,44,28,-0.2925685425685425
29,coex_BRC,42,37,-0.060286935286935295
30,coex_ATT,36,32,0.15850184561065594
31,coex_TNV,20,19,-0.0886363636363634
32,coex_SPL,43,29,0.01177683583457445
33,coex_LCL,40,21,-0.18928571428571428
34,coex_CLS,43,35,-0.18876394922906536
35,coex_EMC,43,33,-0.20216939984381854
36,coex_CLT,45,35,-0.17496012759170676
37,coex_core,48,40,0.13617424242424248
38,coex_WBL,39,29,0.029591055710458614
39,co-essential,31,10,0.2809847198641764
40,GOBP,14,15,1.333333333333333
41,ppi,50,50,-0.04999999999999982
42,reactome_copathway,33,20,0.0625940253599826
43,MP,14,15,1.828754578754579
44,HP,26,19,-0.19050832208726942
45,GI_net,41,25,-0.13458980044345892
46,gene_gene_on_CbG_name_mapped,9,15,-0.3500000000000001
47,gene_gene_on_GcG_name_mapped,41,35,-0.26345131120484155
48,GOMF,1,1,
