,Layer,Cholecystitis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,37,42,0.25729843767818483
1,coex_BST,37,18,0.33194103194103164
2,coex_OVR,33,22,0.19090909090909092
3,coex_LNG,37,32,0.5156033642750912
4,coex_ITI,39,38,0.20770457612562887
5,coex_VGN,33,25,0.4321555174385363
6,coex_HRV,22,17,-0.19811602870813427
7,coex_MSG,40,23,0.10835709194583032
8,coex_ADV,29,26,0.7410152389868414
9,coex_EMS,30,19,0.333548156104547
10,coex_SMU,31,19,0.06027164685908337
11,coex_ARG,28,18,0.09066597653554131
12,coex_TST,36,24,0.07083333333333353
13,coex_PIT,36,26,0.09106910039113414
14,coex_LVR,42,30,-0.017857142857142794
15,coex_THY,32,29,0.2989583333333332
16,coex_PNC,36,20,0.06915584415584419
17,coex_ATC,34,25,0.35515995872033024
18,coex_BRO,37,23,0.16293204748976842
19,coex_SKN,36,23,0.24731005709266585
20,coex_ADS,29,24,0.39348839731077856
21,coex_GEJ,34,22,0.4404761904761907
22,coex_BRB,23,18,0.28136448468929265
23,coex_UTR,26,20,0.492667566351777
24,coex_STM,34,28,0.253490105719707
25,coex_HRA,36,20,0.10053908355795138
26,coex_PRS,36,25,0.40208097928436937
27,coex_ATA,34,24,0.40075757575757587
28,coex_FIB,29,17,-0.05004850515918502
29,coex_BRC,34,24,0.2813375350140057
30,coex_ATT,34,26,0.04031997414350341
31,coex_TNV,23,20,0.00898268398268387
32,coex_SPL,34,36,0.2006069094304388
33,coex_LCL,23,18,-0.05842391304347849
34,coex_CLS,37,35,0.06911196911196926
35,coex_EMC,36,25,0.39713450292397656
36,coex_CLT,36,30,0.30208333333333326
37,coex_core,37,35,0.4026977344992051
38,coex_WBL,33,32,0.44907488344988344
39,co-essential,12,4,0.8869047619047619
40,GOBP,24,20,1.136478227654698
41,ppi,49,50,0.09044114615543175
42,reactome_copathway,16,21,0.2250000000000001
43,MP,17,19,0.4532507739938083
44,HP,23,19,0.47183175329628413
45,GI_net,22,20,0.25137362637362637
46,gene_gene_on_CbG_name_mapped,14,15,-0.1826765188834154
47,gene_gene_on_GcG_name_mapped,31,33,-0.09517045454545459
48,GOMF,9,4,
