,Layer,Episcleritis nodes,Hepatic_encephalopathy nodes,sAB
0,coex_KDN,48,42,0.1148809523809522
1,coex_BST,32,22,0.45034090909090896
2,coex_OVR,36,23,0.325395256916996
3,coex_LNG,42,29,0.507579962533824
4,coex_ITI,43,33,0.2845962686843957
5,coex_VGN,40,23,0.3523042911399583
6,coex_HRV,25,20,0.23003711558854745
7,coex_MSG,39,28,0.07583647695588014
8,coex_ADV,33,33,0.3364149974319468
9,coex_EMS,36,25,0.12565573770491767
10,coex_SMU,37,23,0.3412260086173129
11,coex_ARG,42,25,0.18831168831168843
12,coex_TST,40,27,-0.07857932559425085
13,coex_PIT,41,30,0.1338314439482422
14,coex_LVR,40,31,0.028701406120761108
15,coex_THY,36,25,0.10496368038740966
16,coex_PNC,32,23,0.12160326086956519
17,coex_ATC,39,25,0.15921474358974352
18,coex_BRO,38,30,0.26785345717234277
19,coex_SKN,37,27,0.17868341228996965
20,coex_ADS,32,23,0.5716650197628463
21,coex_GEJ,35,27,0.5037967914438504
22,coex_BRB,26,24,-0.0398948877209746
23,coex_UTR,33,18,0.35263480392156854
24,coex_STM,44,27,0.20287973633044087
25,coex_HRA,32,30,0.32175697865353015
26,coex_PRS,36,19,0.5127790109754593
27,coex_ATA,40,22,0.3947580645161288
28,coex_FIB,29,20,-0.1968684025334273
29,coex_BRC,31,29,0.2068965517241379
30,coex_ATT,39,24,0.5563596491228071
31,coex_TNV,17,21,1.2086953024453022
32,coex_SPL,42,34,0.4464838567005749
33,coex_LCL,30,15,0.06666666666666665
34,coex_CLS,40,28,0.13843563843563844
35,coex_EMC,34,22,0.23414820473644005
36,coex_CLT,38,27,0.23642225221172586
37,coex_core,46,36,0.32185206098249575
38,coex_WBL,39,31,0.3446295639844026
39,co-essential,4,7,-0.19480519480519476
40,GOBP,29,18,1.1597981497056349
41,ppi,50,49,0.19370232941661514
42,reactome_copathway,20,23,0.7778409090909091
43,MP,16,15,1.0439560439560438
44,HP,18,27,0.1685185185185185
45,GI_net,18,23,-0.02749907097733173
46,gene_gene_on_CbG_name_mapped,6,31,0.3105201976169718
47,gene_gene_on_GcG_name_mapped,33,31,-0.12698558162267837
48,GOMF,13,9,
