,Layer,Epididymitis nodes,Pneumonia nodes,sAB
0,coex_KDN,42,36,-0.2601294903926481
1,coex_BST,29,23,-0.2240993788819876
2,coex_OVR,30,28,-0.2047455804261613
3,coex_LNG,35,35,-0.23739495798319332
4,coex_ITI,43,31,0.002382352344842964
5,coex_VGN,30,22,-0.2829836829836829
6,coex_HRV,21,31,-0.28338259441707736
7,coex_MSG,42,38,-0.11052631578947358
8,coex_ADV,38,35,-0.1371098980327532
9,coex_EMS,29,26,-0.1651193633952257
10,coex_SMU,24,23,-0.21739130434782616
11,coex_ARG,25,22,-0.6287878787878785
12,coex_TST,28,25,-0.42882749326145553
13,coex_PIT,33,33,-0.303030303030303
14,coex_LVR,28,32,-0.38139880952380945
15,coex_THY,24,23,-0.23913043478260887
16,coex_PNC,27,26,-0.09175939364618602
17,coex_ATC,32,26,-0.19292937665782506
18,coex_BRO,31,35,-0.387334171205139
19,coex_SKN,32,23,0.15340909090909083
20,coex_ADS,31,24,-0.1062194525904201
21,coex_GEJ,36,30,0.13449768622182434
22,coex_BRB,25,28,-0.44805929919137477
23,coex_UTR,20,17,-0.016306390977443463
24,coex_STM,32,31,-0.20967741935483852
25,coex_HRA,28,25,-0.3974310480693459
26,coex_PRS,28,28,-0.22751322751322745
27,coex_ATA,29,26,-0.09615384615384626
28,coex_FIB,22,26,-0.5285547785547786
29,coex_BRC,29,24,-0.3600086749078293
30,coex_ATT,26,24,-0.10000000000000009
31,coex_TNV,27,24,-0.28853485838779935
32,coex_SPL,23,23,-0.19565217391304324
33,coex_LCL,16,16,-0.625
34,coex_CLS,35,24,-0.042165071770334794
35,coex_EMC,28,27,-0.5104497354497353
36,coex_CLT,33,29,-0.1861772486772486
37,coex_core,44,34,0.04271856734237023
38,coex_WBL,30,30,-0.44999999999999996
39,co-essential,15,9,-0.5515873015873016
40,GOBP,9,12,1.1785714285714288
41,ppi,49,50,-0.10288188002473708
42,reactome_copathway,22,25,-0.20760869565217366
43,MP,15,11,-0.2511904761904762
44,HP,14,12,-0.10760073260073266
45,GI_net,25,22,-0.44629399585921337
46,gene_gene_on_CbG_name_mapped,10,14,-0.40714285714285703
47,gene_gene_on_GcG_name_mapped,28,29,-0.3172802696396162
48,GOMF,5,2,
