,Layer,Urticaria nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,39,34,0.4098586747660078
1,coex_BST,16,28,0.34140534262485467
2,coex_OVR,25,33,0.1866883116883118
3,coex_LNG,31,25,1.0116845878136198
4,coex_ITI,33,32,0.8304050116550117
5,coex_VGN,27,28,0.3076923076923077
6,coex_HRV,20,13,1.0552729528535982
7,coex_MSG,33,29,0.5379209222368286
8,coex_ADV,28,27,0.9191798941798943
9,coex_EMS,21,21,0.356794425087108
10,coex_SMU,21,24,0.29067460317460325
11,coex_ARG,21,32,0.5460495558672276
12,coex_TST,21,32,-0.05225179694519322
13,coex_PIT,30,32,0.1926735921268452
14,coex_LVR,32,29,0.3659957627118646
15,coex_THY,24,26,1.1653985507246376
16,coex_PNC,23,24,0.38463613937712005
17,coex_ATC,26,30,0.7585164835164837
18,coex_BRO,26,27,0.29575498575498615
19,coex_SKN,31,30,0.14022988505747147
20,coex_ADS,28,23,1.4109299516908211
21,coex_GEJ,30,32,1.354513888888889
22,coex_BRB,19,19,0.5789473684210522
23,coex_UTR,14,24,-0.006109022556390897
24,coex_STM,27,27,0.40740740740740744
25,coex_HRA,21,33,0.42567783094098877
26,coex_PRS,24,20,0.28409090909090917
27,coex_ATA,25,31,0.7064764267990076
28,coex_FIB,16,22,0.0234748803827749
29,coex_BRC,19,29,0.34778613199665864
30,coex_ATT,29,28,0.3499905267146648
31,coex_TNV,18,22,1.5198412698412698
32,coex_SPL,35,24,0.47866826156299846
33,coex_LCL,14,18,-0.1329365079365079
34,coex_CLS,27,25,0.36057692307692335
35,coex_EMC,26,26,0.4330769230769229
36,coex_CLT,26,27,0.40384615384615374
37,coex_core,35,36,0.8483363042186574
38,coex_WBL,37,28,0.5164715406650893
39,co-essential,5,9,0.7190476190476192
40,GOBP,25,17,1.6960227272727275
41,ppi,48,45,0.23496863799283152
42,reactome_copathway,22,17,0.9756944444444446
43,MP,17,12,2.1239106753812633
44,HP,25,37,0.66153443766347
45,GI_net,15,17,0.13571428571428523
46,gene_gene_on_CbG_name_mapped,13,6,0.3636977058029689
47,gene_gene_on_GcG_name_mapped,31,34,0.07839001605605045
48,GOMF,8,6,1.833333333333333
