,Layer,Atypical_absence_seizure nodes,Absence_seizure nodes,sAB
0,coex_KDN,35,30,0.11593406593406619
1,coex_BST,27,20,0.5284672970843183
2,coex_OVR,30,19,-0.0789876991328895
3,coex_LNG,31,17,0.196236559139785
4,coex_ITI,31,26,0.024988028383614136
5,coex_VGN,32,20,0.16802884615384617
6,coex_HRV,21,13,0.23809523809523814
7,coex_MSG,33,22,0.0984848484848484
8,coex_ADV,26,17,0.24729032936967243
9,coex_EMS,25,19,0.49694002447980434
10,coex_SMU,24,15,0.1615384615384614
11,coex_ARG,31,25,0.07515151515151519
12,coex_TST,36,30,0.09318181818181803
13,coex_PIT,34,28,-0.15187042558959085
14,coex_LVR,24,22,0.25757575757575757
15,coex_THY,32,16,0.109375
16,coex_PNC,30,19,0.0713390619405656
17,coex_ATC,28,17,0.4097805788982263
18,coex_BRO,40,43,-0.09697394228075096
19,coex_SKN,32,19,0.20618055555555515
20,coex_ADS,26,16,1.18125
21,coex_GEJ,28,22,0.45129870129870175
22,coex_BRB,34,35,-0.01709956709956706
23,coex_UTR,21,16,0.09603174603174613
24,coex_STM,33,28,0.05812220566318915
25,coex_HRA,31,20,0.5227150537634406
26,coex_PRS,27,20,0.0654649330181245
27,coex_ATA,29,18,0.5446850218301704
28,coex_FIB,21,13,0.1045033397974573
29,coex_BRC,39,31,-0.031139006471074593
30,coex_ATT,27,19,0.7801084837698107
31,coex_TNV,21,16,0.5539074500768049
32,coex_SPL,28,22,0.45506493506493495
33,coex_LCL,11,12,0.26363636363636345
34,coex_CLS,29,21,0.23395496129486304
35,coex_EMC,28,18,-0.10938578329882676
36,coex_CLT,32,21,0.25627257481940147
37,coex_core,34,23,0.31586884138396965
38,coex_WBL,20,17,0.5176470588235293
39,co-essential,3,3,1.666666666666666
40,GOBP,29,30,0.41751868820834304
41,ppi,47,50,0.11952898550724633
42,reactome_copathway,7,12,1.3222222222222222
43,MP,15,19,0.12315061848168796
44,HP,24,16,0.006250000000000089
45,GI_net,14,12,0.10119047619047628
46,gene_gene_on_CbG_name_mapped,14,27,-0.08868886307910695
47,gene_gene_on_GcG_name_mapped,32,33,0.059746503496503456
48,GOMF,6,5,
