,Layer,Allergic_rhinitis nodes,Enterocolitis nodes,sAB
0,coex_KDN,35,43,0.06369143852044012
1,coex_BST,20,17,0.38277310924369745
2,coex_OVR,23,34,0.13255745864441515
3,coex_LNG,32,41,0.6499999999999999
4,coex_ITI,25,36,0.19345238095238093
5,coex_VGN,22,31,0.23834498834498863
6,coex_HRV,22,30,0.27529137529137526
7,coex_MSG,32,41,0.1981446291346476
8,coex_ADV,23,41,0.5248044803817602
9,coex_EMS,24,30,0.5237851662404092
10,coex_SMU,21,30,0.0033333333333334103
11,coex_ARG,17,33,-0.015579322638146209
12,coex_TST,27,38,-0.1985979907032538
13,coex_PIT,24,35,0.07031880548829705
14,coex_LVR,23,41,-0.03728128313891821
15,coex_THY,22,33,0.33237133237133243
16,coex_PNC,22,34,0.11125965537730265
17,coex_ATC,27,39,0.18674323361823353
18,coex_BRO,25,36,0.18904761904761913
19,coex_SKN,28,31,0.13628605564089424
20,coex_ADS,28,31,0.6374384236453206
21,coex_GEJ,28,38,0.6695054945054943
22,coex_BRB,17,31,0.0453302760384513
23,coex_UTR,20,18,1.2786290322580647
24,coex_STM,25,35,0.24987893462469746
25,coex_HRA,21,29,0.6734693877551021
26,coex_PRS,24,31,0.3470509171410501
27,coex_ATA,24,40,0.06612903225806455
28,coex_FIB,13,18,0.5511441963054864
29,coex_BRC,20,24,0.031818181818181746
30,coex_ATT,26,32,0.49269585253456194
31,coex_TNV,21,27,0.6008741258741264
32,coex_SPL,22,35,0.049954431533379084
33,coex_LCL,9,26,0.3985958485958485
34,coex_CLS,24,31,0.17547653958944265
35,coex_EMC,23,31,-0.1560061970895812
36,coex_CLT,26,32,0.05750000000000011
37,coex_core,31,43,0.0704895401932677
38,coex_WBL,20,40,0.12083333333333335
39,co-essential,4,5,-0.4500000000000002
40,GOBP,17,20,0.8630831643002024
41,ppi,48,50,0.12114795918367349
42,reactome_copathway,14,24,0.4632034632034632
43,MP,16,21,0.11360294117647074
44,HP,13,19,0.025050607287449456
45,GI_net,13,21,-0.16141439205955344
46,gene_gene_on_CbG_name_mapped,10,12,0.030303030303030054
47,gene_gene_on_GcG_name_mapped,26,33,-0.006568290466595572
48,GOMF,9,3,
