,Layer,Bronchiectasis nodes,Erythema_nodosum nodes,sAB
0,coex_KDN,38,36,-0.09697025792916203
1,coex_BST,26,27,-0.42503924646781766
2,coex_OVR,23,28,-0.5261688311688315
3,coex_LNG,42,30,0.16626984126984135
4,coex_ITI,31,37,-0.10159495358736348
5,coex_VGN,29,30,-0.37488797973894417
6,coex_HRV,24,20,-0.013313917204077486
7,coex_MSG,39,34,-0.10691853137461527
8,coex_ADV,20,32,-0.32442602040816304
9,coex_EMS,28,31,-0.32460251815090535
10,coex_SMU,27,27,-0.20370370370370372
11,coex_ARG,22,25,-0.49934235976789165
12,coex_TST,38,33,-0.23298964440550796
13,coex_PIT,36,32,-0.030350479744136294
14,coex_LVR,29,28,-0.2321428571428572
15,coex_THY,31,25,-0.18189016602809716
16,coex_PNC,31,32,-0.07842741935483866
17,coex_ATC,28,30,-0.19999999999999996
18,coex_BRO,37,29,0.30009319664492073
19,coex_SKN,26,29,-0.09470246734397669
20,coex_ADS,26,28,-0.23076923076923062
21,coex_GEJ,28,28,-0.03571428571428559
22,coex_BRB,32,19,0.13715277777777768
23,coex_UTR,20,23,-0.561614401858304
24,coex_STM,35,34,-0.2165083424674219
25,coex_HRA,27,28,0.061813186813186594
26,coex_PRS,30,30,-0.30510422754724353
27,coex_ATA,28,32,-0.15264976958525356
28,coex_FIB,22,25,-0.175725338491296
29,coex_BRC,23,25,-0.3194565217391303
30,coex_ATT,31,35,-0.1590381564665606
31,coex_TNV,17,20,-0.20379784688995217
32,coex_SPL,27,28,-0.07407407407407418
33,coex_LCL,26,24,-0.24651320002846377
34,coex_CLS,34,31,-0.3167155425219941
35,coex_EMC,34,29,-0.01482621102210624
36,coex_CLT,30,33,-0.3813131313131315
37,coex_core,38,37,-0.1446860394228815
38,coex_WBL,30,30,0.1046561465030198
39,co-essential,4,5,-2.1083333333333334
40,GOBP,29,28,1.0578231292517009
41,ppi,49,47,-0.043195469677232534
42,reactome_copathway,18,18,-0.04861111111111116
43,MP,16,11,0.7104166666666667
44,HP,34,19,-0.08239383141538648
45,GI_net,21,25,0.0016450216450216715
46,gene_gene_on_CbG_name_mapped,12,9,-0.5753968253968254
47,gene_gene_on_GcG_name_mapped,35,29,-0.19045566502463052
48,GOMF,7,10,-0.5333333333333333
