,Layer,Parkinson_disease nodes,Stroke_disorder nodes,sAB
0,coex_KDN,43,42,0.034724262905279524
1,coex_BST,23,21,0.3285714285714283
2,coex_OVR,31,28,0.06364522417153973
3,coex_LNG,35,37,0.27612612612612564
4,coex_ITI,38,37,-0.17291607396870567
5,coex_VGN,34,30,0.09592030360531334
6,coex_HRV,27,29,0.054436942367976915
7,coex_MSG,37,38,-0.06838786154575627
8,coex_ADV,26,28,0.48332794656324074
9,coex_EMS,29,22,0.4942067736185387
10,coex_SMU,27,24,0.2524509803921564
11,coex_ARG,29,22,0.15492253873063477
12,coex_TST,31,32,0.1255760368663592
13,coex_PIT,31,34,-0.09603626396795284
14,coex_LVR,31,40,0.13063725490196076
15,coex_THY,25,27,0.3623861852433281
16,coex_PNC,28,28,0.0535714285714286
17,coex_ATC,26,31,0.3444700460829493
18,coex_BRO,41,33,0.38161443039491827
19,coex_SKN,34,31,0.2692283364958885
20,coex_ADS,27,31,0.5558542413381122
21,coex_GEJ,30,32,0.19676206645646355
22,coex_BRB,27,29,-0.013318737456668561
23,coex_UTR,25,15,0.9266666666666667
24,coex_STM,35,34,0.23449031786627672
25,coex_HRA,30,30,0.08411306042885003
26,coex_PRS,30,31,-0.06666666666666665
27,coex_ATA,26,32,0.05029605263157855
28,coex_FIB,24,20,0.020195838433292757
29,coex_BRC,34,31,0.06542724616728401
30,coex_ATT,30,32,0.004530286176559706
31,coex_TNV,20,28,-0.27292152292152316
32,coex_SPL,28,31,0.15595238095238084
33,coex_LCL,15,8,0.42440476190476195
34,coex_CLS,37,30,-0.04067460317460281
35,coex_EMC,32,30,-0.2324805339265852
36,coex_CLT,36,27,-0.0462962962962965
37,coex_core,38,39,0.24049707602339176
38,coex_WBL,26,32,0.19815152519893875
39,co-essential,10,7,-0.14880952380952372
40,GOBP,13,16,0.958333333333333
41,ppi,48,49,0.010357493512868965
42,reactome_copathway,15,25,0.6217948717948718
43,MP,13,18,-0.4320486815415818
44,HP,23,20,0.4791203235591508
45,GI_net,22,13,0.01981351981351942
46,gene_gene_on_CbG_name_mapped,17,16,0.057709447415329906
47,gene_gene_on_GcG_name_mapped,29,30,-0.25366257549191507
48,GOMF,5,5,
