,Layer,Abnormality_of_the_coagulation_cascade nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,43,35,0.028264758497316578
1,coex_BST,25,20,0.3579674796747967
2,coex_OVR,28,20,0.2333333333333334
3,coex_LNG,36,28,0.3043412264723737
4,coex_ITI,33,25,-0.10509926854754426
5,coex_VGN,36,32,-0.08977374551971318
6,coex_HRV,24,13,0.2295564795564795
7,coex_MSG,41,27,-0.1189356501408152
8,coex_ADV,25,28,0.24444444444444402
9,coex_EMS,26,19,-0.2325174825174825
10,coex_SMU,29,16,-0.27988505747126435
11,coex_ARG,26,17,-0.08386554621848719
12,coex_TST,36,27,-0.13624338624338628
13,coex_PIT,37,21,-0.3035012285012284
14,coex_LVR,47,38,0.05174230946577962
15,coex_THY,28,24,0.17634880038972067
16,coex_PNC,37,27,-0.01276276276276267
17,coex_ATC,27,21,0.11507936507936511
18,coex_BRO,32,18,-0.5631944444444446
19,coex_SKN,37,28,-0.036988100512690636
20,coex_ADS,29,18,0.20919540229885047
21,coex_GEJ,28,22,-0.2263975155279505
22,coex_BRB,22,15,-0.13579033579033606
23,coex_UTR,25,14,0.35134711779448624
24,coex_STM,37,31,0.08753012975024332
25,coex_HRA,30,27,0.20234993614303987
26,coex_PRS,31,24,-0.2122800586510265
27,coex_ATA,32,15,0.020757363253857353
28,coex_FIB,27,12,-0.35505698005698005
29,coex_BRC,33,21,0.16250416250416233
30,coex_ATT,34,20,0.24235294117647088
31,coex_TNV,24,18,0.16666666666666696
32,coex_SPL,44,35,-0.22218066743383202
33,coex_LCL,15,5,0.03157894736842115
34,coex_CLS,33,27,-0.0608718766613503
35,coex_EMC,38,23,0.05341698018073915
36,coex_CLT,35,27,-0.058566024139794504
37,coex_core,36,28,0.10745614035087736
38,coex_WBL,35,20,0.1707792207792207
39,co-essential,6,6,2.083333333333333
40,GOBP,34,29,-0.10023664638269114
41,ppi,50,50,-0.05999999999999983
42,reactome_copathway,26,21,0.24635648039903368
43,MP,15,13,0.9287037037037038
44,HP,41,24,-0.1306519699812385
45,GI_net,17,16,0.09375
46,gene_gene_on_CbG_name_mapped,16,23,-0.2961956521739131
47,gene_gene_on_GcG_name_mapped,28,36,-0.314484126984127
48,GOMF,9,8,
