,Layer,Periodontitis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,36,42,0.009740259740259605
1,coex_BST,19,27,-0.09013209013209034
2,coex_OVR,20,29,-0.11830520909757869
3,coex_LNG,28,41,0.4608164983164982
4,coex_ITI,28,39,-0.07983434475971785
5,coex_VGN,21,31,0.004577572964669763
6,coex_HRV,25,26,0.5087681159420288
7,coex_MSG,30,39,0.08439241917502782
8,coex_ADV,27,30,0.5155539429124336
9,coex_EMS,19,28,-0.1470057720057718
10,coex_SMU,17,26,-0.0778611632270172
11,coex_ARG,17,32,-0.14471214017521916
12,coex_TST,21,31,0.07668675410610892
13,coex_PIT,24,29,0.09013771416178695
14,coex_LVR,30,33,-0.033608323911814564
15,coex_THY,17,33,0.7743983957219247
16,coex_PNC,24,28,0.0873675557179392
17,coex_ATC,27,37,0.037912912912912766
18,coex_BRO,21,31,0.24435779274488967
19,coex_SKN,17,29,0.10912698412698418
20,coex_ADS,20,31,0.19599936748893088
21,coex_GEJ,26,31,0.41030303030303017
22,coex_BRB,20,26,0.06814381270902992
23,coex_UTR,12,24,0.5513833992094863
24,coex_STM,27,31,0.012132822477649796
25,coex_HRA,25,26,0.29455128205128234
26,coex_PRS,18,24,-0.030846484935437513
27,coex_ATA,19,30,0.3035647629712579
28,coex_FIB,14,18,0.34970238095238093
29,coex_BRC,16,24,0.08541666666666714
30,coex_ATT,18,27,0.12782294489611568
31,coex_TNV,18,23,0.24789002557544748
32,coex_SPL,26,36,0.06134546457127099
33,coex_LCL,11,22,0.24059561128526674
34,coex_CLS,18,37,-0.024337974337974355
35,coex_EMC,23,33,0.18840167984189726
36,coex_CLT,18,38,0.19018031189083784
37,coex_core,31,42,0.14575569358178053
38,coex_WBL,28,39,-0.08891547049441773
39,co-essential,10,5,-0.36666666666666714
40,GOBP,17,25,0.7619047619047619
41,ppi,49,50,0.13086786229643388
42,reactome_copathway,29,18,0.6099206349206348
43,MP,15,12,0.4404761904761907
44,HP,13,36,0.1334161869876156
45,GI_net,21,18,0.21392445076655564
46,gene_gene_on_CbG_name_mapped,25,14,0.11274725274725284
47,gene_gene_on_GcG_name_mapped,30,28,-0.1533251231527093
48,GOMF,2,8,
