,Layer,Coronary_artery_disorder nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,43,46,-0.09754376058723913
1,coex_BST,26,28,0.06456043956043978
2,coex_OVR,32,35,-0.24622259460969143
3,coex_LNG,37,44,0.02371310704644025
4,coex_ITI,42,45,-0.21438205079725203
5,coex_VGN,38,37,-0.09359886201991463
6,coex_HRV,31,33,-0.2984787390029324
7,coex_MSG,40,45,-0.0860294117647058
8,coex_ADV,25,33,-0.2698701298701298
9,coex_EMS,30,33,-0.31087928464977654
10,coex_SMU,28,36,-0.02703373015873023
11,coex_ARG,30,33,-0.13859649122807038
12,coex_TST,39,43,-0.13173204182846843
13,coex_PIT,41,40,-0.19783417801710468
14,coex_LVR,36,44,-0.19141414141414148
15,coex_THY,29,36,0.2528367226643087
16,coex_PNC,32,41,-0.2508718259271634
17,coex_ATC,28,36,-0.2235449735449737
18,coex_BRO,37,42,-0.20906847172669973
19,coex_SKN,34,42,-0.12000589709568055
20,coex_ADS,30,38,0.2810113519091848
21,coex_GEJ,27,32,-0.11575762599469508
22,coex_BRB,31,32,-0.04838709677419373
23,coex_UTR,21,34,0.15079185520361982
24,coex_STM,38,44,-0.20617925078772337
25,coex_HRA,29,31,0.06667640755893256
26,coex_PRS,29,37,-0.024414696828489735
27,coex_ATA,33,39,0.20236430236430225
28,coex_FIB,26,36,-0.04835164835164818
29,coex_BRC,35,33,0.01564807741278318
30,coex_ATT,32,43,-0.09528001341381609
31,coex_TNV,28,35,0.32108260591867177
32,coex_SPL,33,42,-0.15982683982683987
33,coex_LCL,16,13,-0.24919871794871806
34,coex_CLS,36,37,-0.15239369444009054
35,coex_EMC,37,42,-0.14901837928153716
36,coex_CLT,31,43,-0.0679527990105635
37,coex_core,40,46,-0.13173660262891818
38,coex_WBL,29,31,0.2639043381535038
39,co-essential,9,4,-1.7777777777777781
40,GOBP,17,16,-0.16321839080459766
41,ppi,49,50,-0.22453720882292294
42,reactome_copathway,13,27,0.1698717948717947
43,MP,17,13,0.4310897435897436
44,HP,15,28,0.09410299003322242
45,GI_net,12,20,-0.46875
46,gene_gene_on_CbG_name_mapped,13,11,-0.5361305361305362
47,gene_gene_on_GcG_name_mapped,32,31,-0.06570020481310812
48,GOMF,7,3,
