,Layer,beta_Thalassemia nodes,Urinary_retention nodes,sAB
0,coex_KDN,29,42,0.24008064117152306
1,coex_BST,19,34,0.23677419354838714
2,coex_OVR,21,39,-0.10989010989010994
3,coex_LNG,31,36,0.385375400867761
4,coex_ITI,24,41,0.003760162601626149
5,coex_VGN,25,39,0.04266025641025628
6,coex_HRV,16,27,0.3165930353430353
7,coex_MSG,26,48,0.13667273042273043
8,coex_ADV,20,35,0.28049450549450583
9,coex_EMS,22,39,0.23846986346986387
10,coex_SMU,19,38,0.09200083542188797
11,coex_ARG,22,31,-0.03318486139545129
12,coex_TST,24,43,0.03977930116857564
13,coex_PIT,25,39,0.34549679487179485
14,coex_LVR,33,33,0.32967607105538144
15,coex_THY,19,34,0.16790849673202635
16,coex_PNC,21,34,0.1506748153806976
17,coex_ATC,22,40,0.25923753665689153
18,coex_BRO,24,39,0.2516788766788767
19,coex_SKN,18,39,-0.02098997493734389
20,coex_ADS,16,30,0.397485632183908
21,coex_GEJ,19,39,0.3582995951417005
22,coex_BRB,15,25,0.5038095238095237
23,coex_UTR,21,35,0.40290297937356767
24,coex_STM,26,40,0.05163170163170161
25,coex_HRA,19,36,0.40824029771398207
26,coex_PRS,27,42,0.13030596854126264
27,coex_ATA,17,37,0.6358521395979779
28,coex_FIB,17,33,0.21623763141620267
29,coex_BRC,23,38,0.07261694864388346
30,coex_ATT,17,43,0.7090600775193798
31,coex_TNV,15,27,0.7007159507159506
32,coex_SPL,38,37,0.49282158871199977
33,coex_LCL,16,28,0.5967544199251513
34,coex_CLS,24,41,0.18445121951219523
35,coex_EMC,26,36,-0.12277891599925539
36,coex_CLT,24,40,0.11874999999999991
37,coex_core,32,43,0.12555004422747484
38,coex_WBL,34,38,0.5422110089629273
39,co-essential,11,6,0.6943181818181818
40,GOBP,28,23,1.561740890688259
41,ppi,50,49,0.21143887858173582
42,reactome_copathway,10,10,0.9523809523809526
43,MP,15,12,1.3015584415584418
44,HP,22,23,1.2936319718928417
45,GI_net,16,16,0.17708333333333348
46,gene_gene_on_CbG_name_mapped,15,9,-0.04444444444444451
47,gene_gene_on_GcG_name_mapped,32,40,0.07048611111111125
48,GOMF,2,2,
