,Layer,Movement_disorder nodes,Orchitis nodes,sAB
0,coex_KDN,34,37,0.31485814729393846
1,coex_BST,25,19,0.017343358395990105
2,coex_OVR,22,23,0.4205314009661838
3,coex_LNG,24,35,-0.08783292978208213
4,coex_ITI,33,32,0.18863025415444756
5,coex_VGN,27,25,0.24101307189542487
6,coex_HRV,20,24,0.34886363636363615
7,coex_MSG,30,33,0.23051948051948035
8,coex_ADV,23,27,0.516006441223833
9,coex_EMS,26,22,0.5212703962703964
10,coex_SMU,24,22,0.18122529644268814
11,coex_ARG,32,20,1.1173076923076926
12,coex_TST,39,32,0.25458762188515704
13,coex_PIT,35,30,0.08341013824884791
14,coex_LVR,29,28,0.2828731311036208
15,coex_THY,26,27,1.1099553835402896
16,coex_PNC,23,26,0.3990341956180461
17,coex_ATC,21,31,0.1698865650478556
18,coex_BRO,41,32,0.3758051356922021
19,coex_SKN,25,26,0.4498491704374057
20,coex_ADS,21,27,0.34468085106382995
21,coex_GEJ,32,22,0.9631670339945235
22,coex_BRB,36,23,0.5579403095062636
23,coex_UTR,20,15,0.2999999999999998
24,coex_STM,31,30,0.29216463952053573
25,coex_HRA,26,22,0.46547202797202836
26,coex_PRS,22,23,0.2727272727272725
27,coex_ATA,26,28,0.5855718355718356
28,coex_FIB,24,22,0.24621212121212133
29,coex_BRC,39,17,0.5220223143875229
30,coex_ATT,23,25,0.5905797101449273
31,coex_TNV,19,24,0.8074942791762014
32,coex_SPL,22,30,0.21734693877551026
33,coex_LCL,22,14,0.29612299465240666
34,coex_CLS,31,25,0.40333333333333377
35,coex_EMC,24,32,0.3084490740740744
36,coex_CLT,29,32,0.3348164627363739
37,coex_core,34,36,0.570074696545285
38,coex_WBL,31,32,0.04717101894521236
39,co-essential,7,2,-0.25396825396825307
40,GOBP,18,13,3.6336050724637676
41,ppi,50,49,0.3949165120593692
42,reactome_copathway,11,24,0.6296212121212119
43,MP,7,16,2.1306022408963585
44,HP,20,24,1.540530303030303
45,GI_net,16,20,0.3812500000000001
46,gene_gene_on_CbG_name_mapped,14,8,0.09253246753246747
47,gene_gene_on_GcG_name_mapped,35,27,-0.04118450247482497
48,GOMF,4,5,
