,Layer,Epididymitis nodes,West_syndrome nodes,sAB
0,coex_KDN,42,46,0.224990589121024
1,coex_BST,29,37,0.5091765873015874
2,coex_OVR,30,38,0.18106938433617192
3,coex_LNG,35,38,0.7957410649912451
4,coex_ITI,43,40,0.5918009246287479
5,coex_VGN,30,40,0.4113095238095237
6,coex_HRV,21,23,0.6380499345615624
7,coex_MSG,42,42,0.4523809523809521
8,coex_ADV,38,35,0.6069214131218457
9,coex_EMS,29,40,0.6897071826077914
10,coex_SMU,24,39,0.6489373179415256
11,coex_ARG,25,40,0.2690860215053763
12,coex_TST,28,44,0.3418109668109668
13,coex_PIT,33,43,0.5494788768962577
14,coex_LVR,28,38,0.35375370243791293
15,coex_THY,24,37,0.6634547591069331
16,coex_PNC,27,37,0.584694069069069
17,coex_ATC,32,39,0.6362913055254604
18,coex_BRO,31,42,0.6953295742634849
19,coex_SKN,32,41,0.5269169729368528
20,coex_ADS,31,21,0.8195604048070844
21,coex_GEJ,36,36,1.451346970713168
22,coex_BRB,25,20,0.603333333333333
23,coex_UTR,20,34,0.32725334423739705
24,coex_STM,32,39,0.4443696088857383
25,coex_HRA,28,38,0.39668615984405475
26,coex_PRS,28,36,0.5383597883597884
27,coex_ATA,29,38,1.0439018218623484
28,coex_FIB,22,35,0.0986671223513329
29,coex_BRC,29,42,0.7550590901732233
30,coex_ATT,26,38,1.6705179615705932
31,coex_TNV,27,16,1.8738425925925926
32,coex_SPL,23,43,0.07171308637436047
33,coex_LCL,16,27,-0.05819336778639106
34,coex_CLS,35,38,0.7425365590673227
35,coex_EMC,28,35,0.41706349206349236
36,coex_CLT,33,38,0.5192384370015948
37,coex_core,44,39,0.7785243684279417
38,coex_WBL,30,36,0.4282828282828284
39,co-essential,15,11,1.7261038961038961
40,GOBP,9,22,0.9105731225296445
41,ppi,49,49,0.24489795918367352
42,reactome_copathway,22,18,1.2878676470588233
43,MP,15,5,3.1904761904761902
44,HP,14,34,0.5826330532212882
45,GI_net,25,20,0.4744444444444449
46,gene_gene_on_CbG_name_mapped,10,12,0.0901515151515151
47,gene_gene_on_GcG_name_mapped,28,33,0.013111205734156473
48,GOMF,5,4,
