,Layer,Extrapyramidal_disease nodes,Thrombophilia nodes,sAB
0,coex_KDN,37,40,0.20311951561951558
1,coex_BST,30,22,0.06680634636299665
2,coex_OVR,29,21,0.1607142857142856
3,coex_LNG,29,27,0.39205893085203414
4,coex_ITI,38,25,0.16265664160401005
5,coex_VGN,36,30,-0.08968253968253959
6,coex_HRV,17,24,0.5795970827355332
7,coex_MSG,37,33,0.11058851058851049
8,coex_ADV,31,22,0.5637659414853711
9,coex_EMS,23,22,0.25
10,coex_SMU,21,23,0.2740918501788068
11,coex_ARG,30,17,-0.21950757575757596
12,coex_TST,32,30,-0.15910618279569877
13,coex_PIT,33,29,0.1473876698014629
14,coex_LVR,29,42,0.10624089363768818
15,coex_THY,22,23,0.5088932806324111
16,coex_PNC,32,29,0.19200964034111978
17,coex_ATC,30,23,0.2234618539786708
18,coex_BRO,38,28,0.3730348598769653
19,coex_SKN,33,29,0.06781609195402272
20,coex_ADS,30,25,0.5487878787878793
21,coex_GEJ,26,22,0.15515158600265
22,coex_BRB,28,21,0.25595238095238093
23,coex_UTR,24,10,0.5916666666666668
24,coex_STM,33,29,0.285841170323929
25,coex_HRA,27,23,0.34444444444444455
26,coex_PRS,29,25,0.2231162196679437
27,coex_ATA,30,26,0.33952254641909807
28,coex_FIB,21,18,-0.03685684800235878
29,coex_BRC,28,24,-0.014507977103884961
30,coex_ATT,28,30,0.46190476190476204
31,coex_TNV,21,25,0.7625000000000002
32,coex_SPL,28,39,0.09617434804001967
33,coex_LCL,18,11,-0.1333333333333333
34,coex_CLS,31,23,0.6675565761080064
35,coex_EMC,32,29,0.040856954997077644
36,coex_CLT,33,26,0.19828335506301586
37,coex_core,38,32,0.22532894736842102
38,coex_WBL,27,31,0.08653648086351096
39,co-essential,10,8,2.8894230769230766
40,GOBP,16,24,1.1486111111111112
41,ppi,49,49,0.17346938775510212
42,reactome_copathway,15,24,1.0875
43,MP,19,15,1.7811111111111106
44,HP,22,31,0.8104479328388248
45,GI_net,16,17,0.13023618538324433
46,gene_gene_on_CbG_name_mapped,14,22,0.42604617604617623
47,gene_gene_on_GcG_name_mapped,38,26,0.08653846153846145
48,GOMF,5,4,
