,Layer,Orchitis nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,37,31,0.21108053618134281
1,coex_BST,19,21,0.051083591331269496
2,coex_OVR,23,24,-0.021874036386062112
3,coex_LNG,35,25,0.29761904761904745
4,coex_ITI,32,27,0.05526716928274222
5,coex_VGN,25,28,0.2610544217687074
6,coex_HRV,24,40,0.8031250000000001
7,coex_MSG,33,44,0.3317099567099566
8,coex_ADV,27,20,0.23743104806934578
9,coex_EMS,22,34,0.4340567093645067
10,coex_SMU,22,36,0.9379136189481021
11,coex_ARG,20,21,0.625
12,coex_TST,32,30,-0.05655241935483879
13,coex_PIT,30,26,0.01318681318681314
14,coex_LVR,28,18,-0.06530365769496194
15,coex_THY,27,31,0.5410241449251201
16,coex_PNC,26,16,0.02729831144465278
17,coex_ATC,31,38,1.1766258212150293
18,coex_BRO,32,27,0.15899639045825475
19,coex_SKN,26,24,0.19269230769230727
20,coex_ADS,27,21,0.6398936170212766
21,coex_GEJ,22,24,0.7619047619047619
22,coex_BRB,23,21,0.35149632975719913
23,coex_UTR,15,22,0.11737967914438485
24,coex_STM,30,29,0.22237482953438548
25,coex_HRA,22,43,1.3722475199219384
26,coex_PRS,23,43,0.4951211579118553
27,coex_ATA,28,19,0.2356023036314192
28,coex_FIB,22,17,0.2293294940353765
29,coex_BRC,17,30,0.401260504201681
30,coex_ATT,25,29,0.6020114942528734
31,coex_TNV,24,26,0.34565217391304337
32,coex_SPL,30,23,0.12791986359761287
33,coex_LCL,14,24,-0.06845238095238093
34,coex_CLS,25,28,0.3079062736205591
35,coex_EMC,32,19,0.360074888017917
36,coex_CLT,32,24,0.4816392777439644
37,coex_core,36,41,1.0372086720867206
38,coex_WBL,32,34,0.7853641456582632
39,co-essential,2,11,-0.6188811188811183
40,GOBP,13,23,3.030041797283177
41,ppi,49,49,0.4693877551020409
42,reactome_copathway,24,17,0.5560383244206775
43,MP,16,25,2.3323873873873877
44,HP,24,38,0.9174094510469721
45,GI_net,20,17,0.19796015180265636
46,gene_gene_on_CbG_name_mapped,8,11,0.3379186602870814
47,gene_gene_on_GcG_name_mapped,27,27,-0.05555555555555536
48,GOMF,5,2,
