,Layer,Temporal_lobe_epilepsy nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,39,40,0.20145245050308347
1,coex_BST,24,31,0.21053274682306933
2,coex_OVR,28,36,0.22470238095238093
3,coex_LNG,26,37,0.4809094809094807
4,coex_ITI,35,40,0.16888454011741705
5,coex_VGN,27,33,0.10723905723905736
6,coex_HRV,23,24,0.37542270531400934
7,coex_MSG,34,40,0.15620031796502398
8,coex_ADV,19,28,0.46478563429851194
9,coex_EMS,24,30,0.5981481481481485
10,coex_SMU,22,30,0.05407925407925385
11,coex_ARG,27,28,0.5164835164835166
12,coex_TST,33,36,0.2969056233981606
13,coex_PIT,32,32,0.0
14,coex_LVR,28,35,0.07453161592505864
15,coex_THY,26,31,0.3887096774193548
16,coex_PNC,30,29,0.3021722189752585
17,coex_ATC,32,36,0.04198232323232309
18,coex_BRO,39,36,0.25243589743589734
19,coex_SKN,28,35,0.45368852459016407
20,coex_ADS,29,33,0.7576431725486228
21,coex_GEJ,26,32,0.5686712861089003
22,coex_BRB,29,27,0.22153804050355763
23,coex_UTR,19,21,-0.10744810744810707
24,coex_STM,34,37,-0.01798069817953829
25,coex_HRA,24,32,0.41369047619047605
26,coex_PRS,23,33,0.03378505552418609
27,coex_ATA,31,30,0.22772006560962232
28,coex_FIB,17,26,0.41392191939387546
29,coex_BRC,31,34,0.07177784265070786
30,coex_ATT,30,32,0.3947916666666669
31,coex_TNV,27,21,0.3727935382190699
32,coex_SPL,26,36,-0.07644058450510105
33,coex_LCL,15,24,0.5297619047619047
34,coex_CLS,29,32,0.3498268795929902
35,coex_EMC,27,30,0.13245614035087705
36,coex_CLT,31,34,0.12231061158954892
37,coex_core,37,39,0.14615931721194864
38,coex_WBL,24,34,0.14460784313725483
39,co-essential,6,6,0.0
40,GOBP,18,24,1.4538324420677364
41,ppi,50,50,0.28
42,reactome_copathway,18,12,1.2130124777183604
43,MP,12,14,2.1560606060606062
44,HP,12,27,-0.014957264957265348
45,GI_net,16,13,0.13879985754985746
46,gene_gene_on_CbG_name_mapped,26,11,0.17501417501417493
47,gene_gene_on_GcG_name_mapped,29,30,0.014952269627897863
48,GOMF,5,7,
