,Layer,Extrapyramidal_disease nodes,Hereditary_antithrombin_deficiency nodes,sAB
0,coex_KDN,37,34,0.13260485008620893
1,coex_BST,30,26,0.21919573594915165
2,coex_OVR,29,24,0.1646062271062272
3,coex_LNG,29,30,0.3539255795830898
4,coex_ITI,38,32,0.036019736842105354
5,coex_VGN,36,26,0.05652054039150811
6,coex_HRV,17,17,0.4411764705882355
7,coex_MSG,37,33,0.030501930501930508
8,coex_ADV,31,26,0.26016883180071027
9,coex_EMS,23,24,0.09642621870882717
10,coex_SMU,21,23,-0.24171842650103503
11,coex_ARG,30,23,0.03546462063086109
12,coex_TST,32,30,-0.07684811827956994
13,coex_PIT,33,34,0.09876593994241056
14,coex_LVR,29,35,0.15712746305418723
15,coex_THY,22,23,0.3440803382663846
16,coex_PNC,32,26,0.14328936485133426
17,coex_ATC,30,27,0.14385964912280702
18,coex_BRO,38,27,0.25675299359509873
19,coex_SKN,33,28,0.06118266978922682
20,coex_ADS,30,23,0.7207246376811596
21,coex_GEJ,26,30,0.2653846153846158
22,coex_BRB,28,18,0.023268398268398105
23,coex_UTR,24,19,0.2294471644226843
24,coex_STM,33,29,0.11285266457680265
25,coex_HRA,27,23,0.2933053943692241
26,coex_PRS,29,28,0.22565033272837254
27,coex_ATA,30,27,0.7653678401889201
28,coex_FIB,21,21,0.04761904761904767
29,coex_BRC,28,24,0.12454212454212454
30,coex_ATT,28,32,0.5157967032967035
31,coex_TNV,21,18,1.9349376114081998
32,coex_SPL,28,33,0.05028919168263446
33,coex_LCL,18,19,0.13694530443756436
34,coex_CLS,31,33,0.2720542281621072
35,coex_EMC,32,27,0.19219054580896655
36,coex_CLT,33,30,0.12460317460317438
37,coex_core,38,29,0.2695099818511797
38,coex_WBL,27,29,0.3184409779237365
39,co-essential,10,16,2.4241071428571432
40,GOBP,16,31,0.7837307152875179
41,ppi,49,49,0.16326530612244894
42,reactome_copathway,15,22,1.9397727272727272
43,MP,19,17,1.246296296296296
44,HP,22,30,0.3913752913752915
45,GI_net,16,18,0.03472222222222232
46,gene_gene_on_CbG_name_mapped,14,14,0.5714285714285716
47,gene_gene_on_GcG_name_mapped,38,35,0.11712328767123292
48,GOMF,5,8,
