,Layer,Intracranial_swelling nodes,Blepharitis nodes,sAB
0,coex_KDN,36,43,0.45765333877328973
1,coex_BST,18,41,1.0983739837398376
2,coex_OVR,29,41,0.7468502247134272
3,coex_LNG,25,45,0.639614427860697
4,coex_ITI,34,42,0.8337756155093619
5,coex_VGN,29,42,0.7818233740272722
6,coex_HRV,31,15,1.2521917500280995
7,coex_MSG,33,45,0.32237762237762246
8,coex_ADV,19,39,1.3160454185862533
9,coex_EMS,20,42,0.7182411674347158
10,coex_SMU,20,41,0.9217612954818071
11,coex_ARG,23,41,0.8269485683987274
12,coex_TST,30,45,0.48111111111111127
13,coex_PIT,33,44,0.6255411255411256
14,coex_LVR,34,44,0.7153263403263401
15,coex_THY,22,25,1.4466991341991342
16,coex_PNC,25,41,1.2393495934959349
17,coex_ATC,16,42,0.8612781954887216
18,coex_BRO,35,38,0.6306056236481616
19,coex_SKN,28,43,0.5726443809574668
20,coex_ADS,25,19,1.3856140350877197
21,coex_GEJ,20,41,0.7592562974810075
22,coex_BRB,33,14,0.5015197568389058
23,coex_UTR,17,37,0.8479411014788374
24,coex_STM,35,41,1.0566905786704925
25,coex_HRA,27,38,1.0965608465608467
26,coex_PRS,23,41,0.7711588175789594
27,coex_ATA,22,36,1.0174155346569136
28,coex_FIB,16,40,0.7375
29,coex_BRC,32,40,0.4833333333333334
30,coex_ATT,24,42,0.908846529814272
31,coex_TNV,24,14,0.6886904761904757
32,coex_SPL,23,41,0.9086069756801465
33,coex_LCL,15,39,1.1143724696356274
34,coex_CLS,32,42,0.6833333333333331
35,coex_EMC,27,42,0.6897860593512768
36,coex_CLT,30,43,0.7330757378785691
37,coex_core,36,43,0.9886434108527133
38,coex_WBL,27,41,1.3390151515151514
39,co-essential,5,22,0.6990909090909092
40,GOBP,14,21,2.6295546558704452
41,ppi,50,50,0.3400000000000001
42,reactome_copathway,21,25,0.4083333333333332
43,MP,10,13,0.6984126984126986
44,HP,20,36,0.6796296296296298
45,GI_net,13,29,-0.36383731211317416
46,gene_gene_on_CbG_name_mapped,23,4,0.45108695652173925
47,gene_gene_on_GcG_name_mapped,37,35,0.08780566280566293
48,GOMF,3,4,
