,Layer,Primary_dilated_cardiomyopathy nodes,Exanthem nodes,sAB
0,coex_KDN,31,44,0.04775205485110079
1,coex_BST,21,22,-0.02130325814536338
2,coex_OVR,24,37,0.151929947188568
3,coex_LNG,25,38,0.14214703425229747
4,coex_ITI,27,42,0.24032892289707197
5,coex_VGN,28,38,0.21505464302074495
6,coex_HRV,40,24,0.49583333333333335
7,coex_MSG,44,41,0.25396178427024907
8,coex_ADV,20,30,0.32753623188405756
9,coex_EMS,34,33,0.5797187561893442
10,coex_SMU,36,31,0.4568020114481355
11,coex_ARG,21,34,0.5483031674208148
12,coex_TST,30,38,-0.0848297213622291
13,coex_PIT,26,35,-0.007890470185552223
14,coex_LVR,18,40,-0.05636973180076632
15,coex_THY,31,35,0.5114574862202947
16,coex_PNC,16,36,0.02565359477124174
17,coex_ATC,38,34,0.9411334709322325
18,coex_BRO,27,33,0.1775223499361429
19,coex_SKN,24,40,0.05998168498168521
20,coex_ADS,21,33,0.6643939393939395
21,coex_GEJ,24,40,0.6462979482604818
22,coex_BRB,21,25,0.3398757763975153
23,coex_UTR,22,25,0.4227272727272724
24,coex_STM,29,37,0.08010675252054567
25,coex_HRA,43,31,0.5196469514762998
26,coex_PRS,43,26,0.4363900339633404
27,coex_ATA,19,31,-0.034634974533107155
28,coex_FIB,17,20,0.030529755761953936
29,coex_BRC,30,27,0.10968660968660959
30,coex_ATT,29,35,0.2977029287213977
31,coex_TNV,26,24,0.4674796747967478
32,coex_SPL,23,42,-0.10349577958273626
33,coex_LCL,24,19,0.08455882352941169
34,coex_CLS,28,34,0.5321739807033923
35,coex_EMC,19,37,0.46048680259206587
36,coex_CLT,24,35,0.08614718614718608
37,coex_core,41,46,1.041967126193001
38,coex_WBL,34,39,0.824833010127128
39,co-essential,11,11,-0.27272727272727293
40,GOBP,23,21,2.131235431235431
41,ppi,49,50,0.27402185116470834
42,reactome_copathway,17,21,0.47394957983193264
43,MP,25,10,1.3057142857142856
44,HP,38,36,0.14404536115062427
45,GI_net,17,26,0.04396477925889686
46,gene_gene_on_CbG_name_mapped,11,11,-0.13636363636363646
47,gene_gene_on_GcG_name_mapped,27,30,-0.0645224171539962
48,GOMF,2,9,
