,Layer,Infection_of_bone nodes,Adrenal_insufficiency nodes,sAB
0,coex_KDN,30,36,0.1742424242424243
1,coex_BST,19,27,1.0210169087878067
2,coex_OVR,18,32,0.6281727744861385
3,coex_LNG,20,24,0.6392543859649122
4,coex_ITI,20,32,0.8273361976369493
5,coex_VGN,16,28,0.33779761904761907
6,coex_HRV,17,10,0.8188235294117647
7,coex_MSG,24,34,0.4918441514536851
8,coex_ADV,34,28,1.5913865546218489
9,coex_EMS,27,25,1.0856481481481484
10,coex_SMU,12,25,0.7030466830466828
11,coex_ARG,11,27,0.48152523152523163
12,coex_TST,14,34,0.27100840336134446
13,coex_PIT,19,34,0.258513931888545
14,coex_LVR,27,32,0.29794413057124913
15,coex_THY,9,27,1.2884090909090906
16,coex_PNC,30,26,0.903472389679286
17,coex_ATC,16,34,0.6892647058823531
18,coex_BRO,13,26,0.5530145530145529
19,coex_SKN,15,31,0.6667977970102283
20,coex_ADS,24,26,2.1907051282051277
21,coex_GEJ,20,33,0.8589473684210525
22,coex_BRB,11,17,0.7117647058823531
23,coex_UTR,6,25,0.8398148148148148
24,coex_STM,22,26,0.721173271173271
25,coex_HRA,18,29,1.1832770270270272
26,coex_PRS,12,29,0.6377495462794918
27,coex_ATA,28,29,0.7883661528408923
28,coex_FIB,6,20,0.18782051282051304
29,coex_BRC,8,24,0.40783410138248843
30,coex_ATT,26,25,0.9473684210526314
31,coex_TNV,31,21,1.6538254755996689
32,coex_SPL,25,32,0.171534090909091
33,coex_LCL,7,22,0.1349081952530229
34,coex_CLS,17,32,1.4870335230866543
35,coex_EMC,15,26,0.20128205128205146
36,coex_CLT,16,30,0.5771929824561406
37,coex_core,41,34,0.7016806722689075
38,coex_WBL,24,26,0.08570512820512821
39,co-essential,7,13,-0.20329670329670346
40,GOBP,23,19,0.9507575757575757
41,ppi,47,45,0.27004316990440946
42,reactome_copathway,16,16,1.2583333333333333
43,MP,13,8,0.8172846889952154
44,HP,12,30,0.5678571428571431
45,GI_net,15,24,0.20765765765765742
46,gene_gene_on_CbG_name_mapped,14,9,-0.03795721187025536
47,gene_gene_on_GcG_name_mapped,29,26,0.16856013212551924
48,GOMF,6,6,
