,Layer,Rosacea nodes,Pleural_effusion nodes,sAB
0,coex_KDN,35,39,0.02186912186912182
1,coex_BST,18,25,0.16829268292682897
2,coex_OVR,27,29,0.08800857507754056
3,coex_LNG,28,32,-0.1252976190476187
4,coex_ITI,33,38,0.12107172107172115
5,coex_VGN,28,30,-0.10987460815047023
6,coex_HRV,25,26,-0.2986425339366514
7,coex_MSG,38,37,-0.09201043148411592
8,coex_ADV,18,27,-0.15345765345765328
9,coex_EMS,19,26,0.04685110211425991
10,coex_SMU,20,26,-0.09088628762541795
11,coex_ARG,22,29,-0.051948051948051965
12,coex_TST,30,30,-0.08333333333333348
13,coex_PIT,29,33,-0.09377422725587348
14,coex_LVR,25,36,-0.07401639344262301
15,coex_THY,28,29,-0.05357142857142838
16,coex_PNC,21,28,-0.06632653061224492
17,coex_ATC,32,33,0.23034274193548376
18,coex_BRO,29,34,-0.04033518438466399
19,coex_SKN,29,31,-0.04165739710789773
20,coex_ADS,27,30,0.17441077441077413
21,coex_GEJ,30,29,-0.15350877192982426
22,coex_BRB,26,28,-0.14835164835164827
23,coex_UTR,15,19,0.27976190476190466
24,coex_STM,29,33,-0.1350321906495433
25,coex_HRA,23,27,-0.19720279720279743
26,coex_PRS,26,27,-0.09059022738268041
27,coex_ATA,27,31,-0.032258064516129004
28,coex_FIB,17,15,0.6928104575163396
29,coex_BRC,14,23,-0.010156118851771367
30,coex_ATT,29,32,0.10292226767971946
31,coex_TNV,27,24,-0.06760064412238309
32,coex_SPL,27,32,0.010083176396735727
33,coex_LCL,16,14,0.25
34,coex_CLS,30,31,0.1355580274378938
35,coex_EMC,31,32,-0.021028886832363813
36,coex_CLT,31,36,0.048800661703887416
37,coex_core,35,37,0.12645875251509064
38,coex_WBL,28,29,-0.04875935048348823
39,co-essential,6,7,1.0573593073593073
40,GOBP,23,19,0.18601190476190466
41,ppi,48,47,-0.09336506159014557
42,reactome_copathway,18,17,-0.5716911764705883
43,MP,13,17,-0.43418435013262613
44,HP,18,26,0.015734265734265618
45,GI_net,9,22,-0.2416405433646811
46,gene_gene_on_CbG_name_mapped,11,7,0.02092352092352101
47,gene_gene_on_GcG_name_mapped,29,23,-0.2989274593472495
48,GOMF,6,8,
