,Layer,Renal_tubular_acidosis nodes,Spinal_cord_tumor nodes,sAB
0,coex_KDN,41,44,0.10725108225108237
1,coex_BST,29,34,0.03740065839789852
2,coex_OVR,31,37,0.2608253414705026
3,coex_LNG,33,42,0.22899159663865554
4,coex_ITI,30,40,0.050000000000000044
5,coex_VGN,28,37,0.2588134838134839
6,coex_HRV,18,25,1.168300653594771
7,coex_MSG,34,42,0.09074155978180753
8,coex_ADV,29,35,0.07909326208566436
9,coex_EMS,28,37,0.06290665665665651
10,coex_SMU,28,36,0.3256448412698414
11,coex_ARG,33,37,-0.03605439678809241
12,coex_TST,33,42,0.07584415584415583
13,coex_PIT,33,43,0.16400967563758262
14,coex_LVR,29,38,0.24134440876727625
15,coex_THY,26,36,0.1886752136752139
16,coex_PNC,26,40,0.2720862470862473
17,coex_ATC,27,39,0.051541051541051486
18,coex_BRO,28,41,0.36043866035675287
19,coex_SKN,30,40,0.1704362801377728
20,coex_ADS,19,31,1.0977292020373515
21,coex_GEJ,31,38,0.08616932316346948
22,coex_BRB,15,31,0.7722222222222221
23,coex_UTR,24,35,0.033676351896690715
24,coex_STM,29,40,0.0767866066966516
25,coex_HRA,31,39,0.44026147179734076
26,coex_PRS,28,37,-0.01877784377784364
27,coex_ATA,29,32,0.19184253246753258
28,coex_FIB,26,37,0.0431722931722931
29,coex_BRC,30,41,0.2868945379594643
30,coex_ATT,29,36,0.21476293103448274
31,coex_TNV,11,10,0.5893939393939398
32,coex_SPL,32,37,0.47520074422248326
33,coex_LCL,25,34,0.07727272727272738
34,coex_CLS,28,40,0.09642857142857153
35,coex_EMC,29,39,0.11813186813186816
36,coex_CLT,30,41,0.06726190476190474
37,coex_core,38,40,0.23446071163825066
38,coex_WBL,36,38,0.4956243307800019
39,co-essential,18,14,0.556051587301587
40,GOBP,37,15,0.876984126984127
41,ppi,49,49,0.16326530612244894
42,reactome_copathway,15,21,1.034817813765182
43,MP,21,12,0.9058441558441555
44,HP,36,22,0.513105189829328
45,GI_net,18,20,0.27412280701754366
46,gene_gene_on_CbG_name_mapped,17,6,0.34569479965899386
47,gene_gene_on_GcG_name_mapped,31,32,0.1051267281105992
48,GOMF,13,6,
