,Layer,West_syndrome nodes,Exanthem nodes,sAB
0,coex_KDN,46,44,0.1556543697848045
1,coex_BST,37,22,0.1621762740183792
2,coex_OVR,38,37,0.14538880986249403
3,coex_LNG,38,38,0.30263157894736814
4,coex_ITI,40,42,0.1733626919602529
5,coex_VGN,40,38,0.26858108108108114
6,coex_HRV,23,24,0.3320981554677207
7,coex_MSG,42,41,0.2288142115500329
8,coex_ADV,35,30,0.24207650273224024
9,coex_EMS,40,33,0.4023892773892772
10,coex_SMU,39,31,0.357532789790854
11,coex_ARG,40,34,0.4617647058823531
12,coex_TST,44,38,0.05603045862994516
13,coex_PIT,43,35,0.3385126501405571
14,coex_LVR,38,40,0.11948380566801609
15,coex_THY,37,35,0.3711497211497212
16,coex_PNC,37,36,0.4794571969229504
17,coex_ATC,39,34,0.22900266534432556
18,coex_BRO,42,33,0.5819783197831976
19,coex_SKN,41,40,0.37419480925578497
20,coex_ADS,21,33,0.6832618639222416
21,coex_GEJ,36,40,0.5211198040145408
22,coex_BRB,20,25,1.192222222222222
23,coex_UTR,34,25,0.08067226890756318
24,coex_STM,39,37,0.03990225042856621
25,coex_HRA,38,31,0.3493677375256321
26,coex_PRS,36,26,0.14261097325613448
27,coex_ATA,38,31,0.6942742550626213
28,coex_FIB,35,20,0.10517961570593126
29,coex_BRC,42,27,0.394524959742351
30,coex_ATT,38,35,0.972007223942208
31,coex_TNV,16,24,0.8395833333333331
32,coex_SPL,43,42,0.10619177903719623
33,coex_LCL,27,19,-0.07592592592592573
34,coex_CLS,38,34,0.3848960636886334
35,coex_EMC,35,37,0.3104032604032603
36,coex_CLT,38,35,0.07967745450582986
37,coex_core,39,46,0.3781772575250837
38,coex_WBL,36,39,0.4947863247863249
39,co-essential,11,11,-0.09090909090909083
40,GOBP,22,21,1.580681818181818
41,ppi,49,50,0.2613440527726243
42,reactome_copathway,18,21,0.9069852941176473
43,MP,5,10,2.95
44,HP,34,36,0.5727124183006536
45,GI_net,20,26,0.00934065934065953
46,gene_gene_on_CbG_name_mapped,12,11,0.044301712779973634
47,gene_gene_on_GcG_name_mapped,33,30,-0.021067821067821013
48,GOMF,4,9,
