,Layer,Extrapyramidal_disease nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,37,40,0.13006756756756754
1,coex_BST,30,30,0.3078342407743495
2,coex_OVR,29,26,0.33002645502645533
3,coex_LNG,29,34,0.25179492365254363
4,coex_ITI,38,32,0.0909304511278195
5,coex_VGN,36,30,0.1976702508960575
6,coex_HRV,17,16,0.5692959001782532
7,coex_MSG,37,34,0.23527172574397093
8,coex_ADV,31,30,0.3784946236559139
9,coex_EMS,23,24,0.3745059288537549
10,coex_SMU,21,21,0.30952380952380976
11,coex_ARG,30,24,0.09583333333333321
12,coex_TST,32,30,-0.05803091397849447
13,coex_PIT,33,34,0.08473879062114342
14,coex_LVR,29,39,0.1315207780725023
15,coex_THY,22,28,0.33417508417508435
16,coex_PNC,32,29,-0.10109380793474232
17,coex_ATC,30,31,0.16398730830248542
18,coex_BRO,38,27,0.2593984962406015
19,coex_SKN,33,32,0.09375
20,coex_ADS,30,21,0.4733333333333336
21,coex_GEJ,26,29,0.2678571428571428
22,coex_BRB,28,14,0.20833333333333304
23,coex_UTR,24,22,0.17868906455862943
24,coex_STM,33,33,0.1477272727272727
25,coex_HRA,27,30,0.46581196581196593
26,coex_PRS,29,28,0.1730187537810044
27,coex_ATA,30,27,0.4756763925729439
28,coex_FIB,21,26,0.15429428727301087
29,coex_BRC,28,29,0.14179355127630977
30,coex_ATT,28,29,0.18622448979591866
31,coex_TNV,21,14,1.7364672364672362
32,coex_SPL,28,38,0.1857769423558897
33,coex_LCL,18,22,0.056347256347256014
34,coex_CLS,31,36,0.3148125172318721
35,coex_EMC,32,31,0.2066532258064515
36,coex_CLT,33,34,0.044849282996780815
37,coex_core,38,34,0.11887122498327929
38,coex_WBL,27,35,0.1365762075439494
39,co-essential,10,8,1.1346153846153846
40,GOBP,16,30,0.5612369337979093
41,ppi,49,49,0.11224489795918369
42,reactome_copathway,15,17,0.6803921568627449
43,MP,19,16,-0.31746031746031766
44,HP,22,18,0.3161616161616161
45,GI_net,16,16,-0.03125
46,gene_gene_on_CbG_name_mapped,14,12,0.22344322344322332
47,gene_gene_on_GcG_name_mapped,38,32,-0.03705357142857135
48,GOMF,5,7,
