,Layer,Renal_tubular_acidosis nodes,Extrapyramidal_disease nodes,sAB
0,coex_KDN,41,37,0.16074938574938558
1,coex_BST,29,30,0.11174968071519809
2,coex_OVR,31,29,0.1348431562777912
3,coex_LNG,33,29,0.6149425287356318
4,coex_ITI,30,38,0.17554179566563466
5,coex_VGN,28,36,0.16021825396825395
6,coex_HRV,18,17,1.3995379761099844
7,coex_MSG,34,37,0.21994446808034218
8,coex_ADV,29,31,0.5279902839890127
9,coex_EMS,28,23,0.2840823197966056
10,coex_SMU,28,21,0.5008503401360542
11,coex_ARG,33,30,0.14479166666666643
12,coex_TST,33,32,-0.12633304195804196
13,coex_PIT,33,33,0.2788825757575757
14,coex_LVR,29,29,0.34421182266009875
15,coex_THY,26,22,0.4965034965034967
16,coex_PNC,26,32,0.30118410169343957
17,coex_ATC,27,30,0.26471734892787535
18,coex_BRO,28,38,0.3032296650717705
19,coex_SKN,30,33,0.2912698412698411
20,coex_ADS,19,30,0.9967711832773425
21,coex_GEJ,31,26,0.2894315362057296
22,coex_BRB,15,28,0.4841915836101882
23,coex_UTR,24,24,0.08333333333333348
24,coex_STM,29,33,0.38469174503657255
25,coex_HRA,31,27,0.5636707919118147
26,coex_PRS,28,29,0.2616779016506787
27,coex_ATA,29,30,0.5021991555242784
28,coex_FIB,26,21,0.12401605486711875
29,coex_BRC,30,28,0.14445812807881797
30,coex_ATT,29,28,0.34054004743659894
31,coex_TNV,11,21,1.2342657342657342
32,coex_SPL,32,28,0.5101190476190478
33,coex_LCL,25,18,0.024358974358974272
34,coex_CLS,28,31,0.49249199406389144
35,coex_EMC,29,32,0.3413690476190474
36,coex_CLT,30,33,0.36349206349206353
37,coex_core,38,38,0.4870445344129557
38,coex_WBL,36,27,0.5064814814814818
39,co-essential,18,10,1.9335748792270533
40,GOBP,37,16,0.7082766439909296
41,ppi,49,49,0.17346938775510212
42,reactome_copathway,15,15,0.6307692307692307
43,MP,21,19,1.2313902572523263
44,HP,36,22,0.5256443747823056
45,GI_net,18,16,-0.07475490196078471
46,gene_gene_on_CbG_name_mapped,17,14,0.2653835727839522
47,gene_gene_on_GcG_name_mapped,31,38,-0.002921926133707231
48,GOMF,13,5,
