,Layer,Respiratory_insufficiency nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,42,35,0.2404761904761903
1,coex_BST,34,20,0.6450980392156862
2,coex_OVR,34,20,0.04083710407239827
3,coex_LNG,37,28,0.3243868868868871
4,coex_ITI,39,25,0.10887820512820534
5,coex_VGN,39,32,0.2821314102564103
6,coex_HRV,19,13,0.3135121457489878
7,coex_MSG,43,27,0.13095853328411478
8,coex_ADV,33,28,0.6316943015056222
9,coex_EMS,33,19,-0.05681818181818166
10,coex_SMU,41,16,0.27096705177578073
11,coex_ARG,36,17,0.22828030583302494
12,coex_TST,40,27,0.09847291321171903
13,coex_PIT,38,21,0.10512704174228693
14,coex_LVR,39,38,0.6842105263157894
15,coex_THY,37,24,0.3905209557383471
16,coex_PNC,35,27,0.28476909889638913
17,coex_ATC,35,21,0.320238095238095
18,coex_BRO,35,18,-0.09673554956573804
19,coex_SKN,37,28,0.3020662914730712
20,coex_ADS,29,18,0.5191570881226055
21,coex_GEJ,30,22,0.44333333333333336
22,coex_BRB,18,15,-0.03989898989898988
23,coex_UTR,32,14,-0.07406655844155852
24,coex_STM,36,31,0.3725659337720002
25,coex_HRA,37,27,0.395711500974659
26,coex_PRS,38,24,0.24119269949066213
27,coex_ATA,31,15,0.4162692847124827
28,coex_FIB,30,12,0.34642857142857153
29,coex_BRC,37,21,0.21529346057647958
30,coex_ATT,40,20,0.35324074074074074
31,coex_TNV,18,18,1.115604575163399
32,coex_SPL,34,35,0.724083546462063
33,coex_LCL,28,5,0.31025641025641004
34,coex_CLS,38,27,0.1838231674297246
35,coex_EMC,36,23,0.4624973227671876
36,coex_CLT,40,27,0.25839160839160846
37,coex_core,41,28,0.4900668764752163
38,coex_WBL,36,20,1.4031746031746033
39,co-essential,13,6,1.766531713900135
40,GOBP,20,29,0.788095238095238
41,ppi,50,50,0.2200000000000002
42,reactome_copathway,7,21,1.798941798941799
43,MP,13,13,1.2916666666666665
44,HP,31,24,0.4837609970674488
45,GI_net,17,16,0.08890374331550843
46,gene_gene_on_CbG_name_mapped,12,23,0.21749482401656328
47,gene_gene_on_GcG_name_mapped,41,36,0.18901999084925913
48,GOMF,6,8,
