,Layer,Adrenogenital_syndrome nodes,Immunodeficiency nodes,sAB
0,coex_KDN,35,41,0.3290298918026775
1,coex_BST,25,22,0.5477777777777777
2,coex_OVR,31,30,0.1497082528345337
3,coex_LNG,29,34,0.3178225313113754
4,coex_ITI,31,35,0.5235162686775587
5,coex_VGN,27,31,0.3154629750555049
6,coex_HRV,21,21,0.7008241758241756
7,coex_MSG,33,35,0.23554876496052968
8,coex_ADV,23,27,0.7761030595813203
9,coex_EMS,24,25,0.22566326530612235
10,coex_SMU,25,30,0.5160606060606061
11,coex_ARG,31,24,0.608198924731183
12,coex_TST,36,38,0.28109688636004426
13,coex_PIT,31,36,0.2145593869731801
14,coex_LVR,33,35,0.4242042271454034
15,coex_THY,26,34,0.4798407806882383
16,coex_PNC,29,30,0.42543859649122817
17,coex_ATC,30,35,0.31684981684981706
18,coex_BRO,30,32,0.04791666666666661
19,coex_SKN,30,34,0.30526960784313717
20,coex_ADS,27,28,0.6789321789321789
21,coex_GEJ,25,23,0.06131313131313121
22,coex_BRB,20,26,0.1688963210702341
23,coex_UTR,20,22,0.6716791979949872
24,coex_STM,32,30,0.37006048387096757
25,coex_HRA,30,26,0.49005305039787794
26,coex_PRS,27,25,0.7282905982905983
27,coex_ATA,36,34,0.14910130718954218
28,coex_FIB,24,21,0.06553030303030294
29,coex_BRC,30,28,0.26227422003284095
30,coex_ATT,29,25,0.24301886792452843
31,coex_TNV,22,24,0.7641344163083295
32,coex_SPL,25,39,0.21560897435897441
33,coex_LCL,22,15,0.3180180180180181
34,coex_CLS,26,25,0.29064856711915565
35,coex_EMC,31,36,0.45486111111111116
36,coex_CLT,31,32,0.4772705453149002
37,coex_core,33,38,0.5015602246723527
38,coex_WBL,30,28,0.46179653679653665
39,co-essential,7,7,0.1428571428571428
40,GOBP,35,20,2.0213032581453634
41,ppi,48,49,0.47290088715898726
42,reactome_copathway,23,17,1.4441268670477596
43,MP,12,13,1.541666666666667
44,HP,32,38,0.6235667293233083
45,GI_net,19,21,-0.005513784461152582
46,gene_gene_on_CbG_name_mapped,18,7,0.9146031746031746
47,gene_gene_on_GcG_name_mapped,30,33,0.20964371186840602
48,GOMF,9,8,
