,Layer,Gangrene nodes,Intermittent_claudication nodes,sAB
0,coex_KDN,33,44,-0.11309523809523814
1,coex_BST,21,33,0.0911495911495912
2,coex_OVR,27,37,0.17742742742742745
3,coex_LNG,31,41,0.20855860972285312
4,coex_ITI,32,39,0.2997077013362224
5,coex_VGN,35,38,0.4199936460870486
6,coex_HRV,14,25,0.050617760617760243
7,coex_MSG,34,39,0.09192855224281504
8,coex_ADV,19,33,0.23567660409765656
9,coex_EMS,27,36,0.33994708994709
10,coex_SMU,22,32,0.022832491582491787
11,coex_ARG,22,38,0.2735816814764185
12,coex_TST,32,38,0.11386278195488742
13,coex_PIT,28,39,0.12050011392116655
14,coex_LVR,28,43,0.08049256102845592
15,coex_THY,24,35,0.5836581709145428
16,coex_PNC,24,38,0.2736983588002264
17,coex_ATC,25,37,0.3638360941586751
18,coex_BRO,26,38,0.11820384294068509
19,coex_SKN,34,38,0.2656743321614905
20,coex_ADS,23,32,0.8013539756176504
21,coex_GEJ,29,35,0.22606219211822665
22,coex_BRB,20,25,0.2833333333333332
23,coex_UTR,20,33,0.14156660949113764
24,coex_STM,29,38,0.17654468131213252
25,coex_HRA,23,37,0.08278293285789551
26,coex_PRS,26,37,0.16620749782040112
27,coex_ATA,23,37,0.4989620054837447
28,coex_FIB,21,36,-0.08563074352548039
29,coex_BRC,25,40,-0.10884615384615381
30,coex_ATT,22,37,0.5816640986132513
31,coex_TNV,16,22,1.1691919191919187
32,coex_SPL,31,40,0.11952521581099496
33,coex_LCL,25,33,0.27973063973063983
34,coex_CLS,23,38,0.2191336764050409
35,coex_EMC,30,37,0.32494802494802477
36,coex_CLT,28,38,0.046650717703349276
37,coex_core,34,42,0.23132004981320042
38,coex_WBL,33,39,0.17646262188515704
39,co-essential,10,16,2.184974747474748
40,GOBP,22,15,1.427125506072875
41,ppi,49,49,0.13265306122448983
42,reactome_copathway,17,21,0.7368055555555553
43,MP,19,17,-0.2690136660724898
44,HP,31,17,0.009092346616065727
45,GI_net,22,27,0.3168247096818524
46,gene_gene_on_CbG_name_mapped,12,13,0.1960256410256409
47,gene_gene_on_GcG_name_mapped,30,37,-0.03361570525749635
48,GOMF,6,6,4.0
